// HSK 3.0/Level 6
挨着	ai1zhe5	near
差异	cha1yi4	difference; discrepancy
查出	cha2chu1	1 to find out 2 to discover
查看	cha2kan4	1 to look over 2 to examine 3 to check up 4 to ferret out
拆迁	chai1qian1	to demolish a building and relocate the inhabitants
产量	chan3liang4	output
昌盛	chang1sheng4	prosperous
长短	chang2duan3	1 length 2 accident; mishap 3 right and wrong; good and bad; merits and demerits
长假	chang2jia4	long vacation
长久	chang2jiu3	1 long-time; long-term 2 lasting; enduring; permanent 3 for a long time
长跑	chang2pao3	long-distance running
长远	chang2yuan3	1 long-term 2 long-range
常规	chang2gui1	1 code of conduct; conventions; common practice 2 routine (medical procedure etc)
常年	chang2nian2	1 all year round 2 for years on end 3 average year
厂商	chang3shang1	1 manufacturer 2 producer
场地	chang3di4	1 space 2 site 3 place 4 sports pitch
场馆	chang3guan3	1 sporting venue 2 arena
场景	chang3jing3	scene; scenario; situation; setting
畅通	chang4tong1	unobstructed; unimpeded; free-flowing; smooth
超	chao1	1 to exceed 2 to overtake 3 to surpass 4 to transcend 5 to pass 6 to cross 7 ultra- 8 super-
超出	chao1chu1	1 to exceed 2 to overstep 3 to go too far 4 to encroach
炒	chao3	1 to sauté; to stir-fry 2 to speculate (in real estate etc); to scalp 3 to hype up 4 to sack; to fire (sb)
炒股	chao3gu3	(coll.) to speculate in stocks
炒作	chao3zuo4	1 to hype 2 to promote (in the media)
车号	che1hao4	vehicle number (license plate number, taxi number, bus number, train car number)
车牌	che1pai2	vehicle license plate
车展	che1zhan3	auto show; motor show
撤离	che4li2	1 to withdraw from 2 to evacuate
撤销	che4xiao1	1 to repeal 2 to revoke 3 (computing) to undo
撑	cheng1	1 to support 2 to prop up 3 to push or move with a pole 4 to maintain 5 to open or unfurl 6 to fill to bursting point 7 brace 8 stay 9 support
成	cheng2	1 to succeed 2 to finish 3 to complete 4 to accomplish 5 to become 6 to turn into 7 to be all right 8 OK! 9 one tenth
成分	cheng2fen4	1 composition; ingredient; element; component 2 one's social status
成品	cheng2pin3	1 finished goods 2 a finished product
承诺	cheng2nuo4	1 to promise 2 to undertake to do something 3 commitment
城区	cheng2qu1	1 city district 2 urban area
城乡	cheng2xiang1	city and countryside
城镇	cheng2zhen4	1 town 2 cities and towns
持有	chi2you3	to hold (passport, views etc)
冲击	chong1ji1	1 to attack 2 to batter 3 (of waves) to pound against 4 shock 5 impact
重建	chong2jian4	1 to rebuild 2 to reestablish 3 reconstruction 4 rebuilding
重组	chong2zu3	to reorganize; to recombine; to restructure
崇拜	chong2bai4	1 to worship 2 adoration
宠物	chong3wu4	house pet
冲	chong1	1 (of water) to dash against 2 to mix with water 3 to infuse 4 to rinse 5 to flush 6 to develop (a film) 7 to rise in the air 8 to clash 9 to collide with
出场	chu1chang3	1 (of a performer) to come onto the stage to perform 2 (of an athlete) to enter the arena to compete 3 (fig.) to enter the scene (e.g. a new product) 4 (of an examinee etc) to leave the venue
出动	chu1dong4	1 to start out on a trip 2 to dispatch troops
出访	chu1fang3	to go and visit in an official capacity or for investigation
出路	chu1lu4	1 a way out (lit. and fig.) 2 opportunity for advancement; a way forward 3 outlet (for one's products)
出面	chu1mian4	1 to appear personally 2 to step in 3 to step forth 4 to show up
出名	chu1ming2	1 well-known for sth 2 to become well known 3 to make one's mark 4 to lend one's name (to an event, endeavor etc)
出入	chu1ru4	1 to go out and come in 2 entrance and exit 3 expenditure and income 4 discrepancy 5 inconsistent
出事	chu1shi4	1 to have an accident 2 to meet with a mishap
出台	chu1tai2	1 to officially launch (a policy, program etc) 2 to appear on stage 3 to appear publicly 4 (of a bar girl) to leave with a client
出行	chu1xing2	1 to go out somewhere (relatively short trip) 2 to set off on a journey (longer trip)
初等	chu1deng3	elementary (i.e. easy)
除	chu2	1 to get rid of 2 to remove 3 to exclude 4 to eliminate 5 to wipe out 6 to divide 7 except 8 not including
厨师	chu2shi1	1 cook 2 chef
储存	chu3cun2	1 stockpile 2 to store 3 to stockpile 4 storage
处处	chu4chu4	1 everywhere 2 in all respects
处长	chu4zhang3	1 department head 2 section chief
传出	chuan2chu1	1 to transmit outwards 2 to disseminate 3 efferent (nerve)
传媒	chuan2mei2	media
传输	chuan2shu1	1 to transmit 2 transmission
传言	chuan2yan2	1 rumor 2 hearsay
船员	chuan2yuan2	1 sailor 2 crew member
船长	chuan2zhang3	1 captain (of a boat) 2 skipper
船只	chuan2zhi1	1 ship 2 boat 3 vessel
串	chuan4	1 to string together 2 to skewer 3 to connect wrongly 4 to gang up 5 to rove 6 string 7 bunch 8 skewer 9 classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of 10 to make a swift or abrupt linear movement (like a bead on an abacus) 11 to move across
窗口	chuang1kou3	1 window 2 opening providing restricted access (e.g. customer service window) 3 computer operating system window 4 fig. medium 5 intermediary 6 showpiece 7 testing ground
创办	chuang4ban4	to establish; to found
创建	chuang4jian4	to found; to establish
创意	chuang4yi4	1 creative 2 creativity
此处	ci3chu4	1 this place 2 here (literary)
此次	ci3ci4	this time
此前	ci3qian2	1 before this 2 before then 3 previously
此事	ci3shi4	this matter
此致	ci3zhi4	(used at the end of a letter to introduce a polite salutation)
次数	ci4shu4	1 number of times 2 frequency 3 order number (in a series) 4 power (math.) 5 degree of a polynomial (math.)
从不	cong2bu4	never
从没	cong2mei2	1 never (in the past) 2 never did
醋	cu4	1 vinegar 2 jealousy (in love rivalry)
村庄	cun1zhuang1	1 village 2 hamlet M: 座zuò [座]
错过	cuo4guo4	to miss (train, opportunity etc)
搭	da1	1 to put up 2 to build (scaffolding) 3 to hang (clothes on a pole) 4 to connect 5 to join 6 to arrange in pairs 7 to match 8 to add 9 to throw in (resources) 10 to take (boat, train) 11 variant of 褡dā [褡]
搭档	da1dang4	1 to cooperate 2 partner
搭配	da1pei4	1 to pair up 2 to match 3 to arrange in pairs 4 to add sth into a group
打动	da3dong4	1 to move (to pity) 2 arousing (sympathy) 3 touching
打断	da3duan4	1 to interrupt 2 to break off 3 to break (a bone)
打发	da3fa5	1 to dispatch sb to do sth 2 to make sb leave 3 to pass (the time) 4 (old) to make arrangements 5 (old) to bestow (alms etc)
打官司	da3guan1si5	1 to file a lawsuit 2 to sue 3 to dispute
打牌	da3pai2	to play mahjong or cards
打印机	da3yin4ji1	printer
打造	da3zao4	1 to create 2 to build 3 to develop 4 to forge (of metal)
大道	da4dao4	1 main street 2 avenue
大街	da4jie1	1 street 2 main street M: 条tiáo [条]
大力	da4li4	energetically; vigorously
大米	da4mi3	(husked) rice
大批	da4pi1	large quantities of
大赛	da4sai4	grand contest
大师	da4shi1	1 great master 2 master
大使	da4shi3	1 ambassador 2 envoy M: 名míng [名] / 位wèi [位]
待会儿	dai1hui4r5	1 in a moment 2 later 3 also pr. [dāihuǐr] or [dāihuir]
担忧	dan1you1	1 to worry 2 to be concerned
单打	dan1da3	singles (in sports) M: 场chǎng [场]
诞生	dan4sheng1	to be born
党	dang3	1 party 2 association 3 club 4 society M: 个gè [个]
当	dang1	1 (onom.) dong 2 ding dong (bell)
当成	dang4cheng2	to consider as; to take to be
当天	dang1tian1	on that day
当作	dang4zuo4	1 to treat as 2 to regard as
档	dang4	1 (bound form) shelves (for files); pigeonholes 2 (bound form) files 3 crosspiece (of a table etc) 4 (bound form) (of goods) grade 5 vendor's open-air stall 6 (Tw) timeslot for a show or program 7 classifier for shows 8 classifier for events, affairs etc 9 Taiwan pr. [dǎng]
档案	dang4an4	file; record; archive
岛	dao3	island M: 个gè [个] / 座zuò [座]
到期	dao4qi1	1 to fall due (loan etc) 2 to expire (visa etc) 3 to mature (investment bond etc)
盗版	dao4ban3	1 pirated 2 illegal 3 see also 正版zhèngbǎn [正版]
道教	Dao4jiao4	1 Taoism 2 Daoism (Chinese system of beliefs)
道歉	dao4qian4	to apologize
低头	di1tou2	1 to bow the head 2 to yield 3 to give in
低温	di1wen1	low temperature
滴	di1	1 a drop 2 to drip
抵达	di3da2	1 to arrive 2 to reach (a destination)
抵抗	di3kang4	1 to resist 2 resistance
地板	di4ban3	floor
地名	di4ming2	1 place name 2 toponym
地下室	di4xia4shi4	1 basement 2 cellar
电车	dian4che1	1 tram; streetcar 2 trolleybus 3 electric car 4 e-bike 5 (in the context of Japan) electric train
电动	dian4dong4	1 electric-powered 2 (Tw) video game
电力	dian4li4	1 electrical power 2 electricity
电器	dian4qi4	1 (electrical) appliance 2 device
吊	diao4	1 a string of 100 cash (arch.) 2 to lament 3 to condole with 4 variant of 吊diào [吊]
调研	diao4yan2	1 to investigate and research 2 research 3 investigation
跌	die1	1 to fall 2 to tumble 3 to trip 4 (of prices etc) to drop 5 Taiwan pr. [dié]
定价	ding4jia4	1 to set a price 2 to fix a price
定时	ding4shi2	1 to fix a time 2 fixed time 3 timed (of explosive etc)
