// HSK 3.0/Level 6
挨着	ai1zhe5	near
吉利	ji2li4	1 auspicious 2 lucky 3 propitious
吉祥	ji2xiang2	1 lucky 2 auspicious 3 propitious
极端	ji2duan1	extreme
急救	ji2jiu4	1 to give emergency treatment 2 first aid
疾病	ji2bing4	disease; sickness; ailment
集	ji2	1 to gather 2 to collect 3 collected works 4 classifier for sections of a TV series etc: episode
给予	ji3yu3	(literary) to give; to accord; to render
加盟	jia1meng2	(of a nation) to join an alliance; (of an athlete) to join a sports team; (of an entrepreneur) to join a franchise; (of an actor) to join the cast of a movie; (of a recording artist) to sign with a label
家电	jia1dian4	1 household electric appliance 2 abbr. for 家用电器
家园	jia1yuan2	1 home 2 homeland
嘉宾	jia1bin1	1 esteemed guest 2 honored guest 3 guest (on a show)
假日	jia4ri4	a holiday; a day off
尖	jian1	1 pointed; tapering; sharp 2 (of a sound) shrill; piercing 3 (of one's hearing, sight etc) sharp; acute; keen 4 to make (one's voice) shrill 5 sharp point; tip 6 the best of sth; the cream of the crop
监测	jian1ce4	to monitor
监督	jian1du1	1 to control 2 to supervise 3 to inspect
捡	jian3	to pick up; to collect; to gather
简介	jian3jie4	1 summary 2 brief introduction
剑	jian4	1 double-edged sword M: 口kǒu [口] / 把bǎ [把] 2 classifier for blows of a sword
鉴定	jian4ding4	1 to appraise 2 to identify 3 to evaluate
箭	jian4	arrow M: 支zhī [支]
将军	jiang1jun1	1 general 2 high-ranking military officer 3 to check or checkmate 4 fig. to embarrass 5 to challenge 6 to put sb on the spot
讲课	jiang3ke4	1 teach 2 lecture
酱	jiang4	1 thick paste of fermented soybean 2 marinated in soy paste 3 paste 4 jam
酱油	jiang4you2	soy sauce
骄傲	jiao1ao4	1 pride 2 arrogance 3 conceited 4 proud of sth
焦点	jiao1dian3	(lit. and fig.) focal point; focus
脚印	jiao3yin4	footprint
觉	jue2	1 to feel 2 to find that 3 thinking 4 awake 5 aware
教堂	jiao4tang2	church; chapel M: 座zuò [座] / 所suǒ [所] / 间jiān [间]
教育部	Jiao4yu4bu4	Ministry of Education
接收	jie1shou1	1 reception (of transmitted signal) 2 to receive 3 to accept 4 to admit 5 to take over (e.g. a factory) 6 to expropriate
揭	jie1	1 to take the lid off 2 to expose 3 to unmask
街头	jie1tou2	street
节	jie2	1 joint; node 2 (bound form) section; segment 3 solar term (one of the 24 divisions of the year in the traditional Chinese calendar) 4 seasonal festival 5 (bound form) to economize; to save 6 (bound form) moral integrity; chastity 7 classifier for segments: lessons, train wagons, biblical verses etc 8 knot (nautical miles per hour)
节假日	jie2jia4ri4	public holiday
节能	jie2neng2	to conserve energy; to minimize energy consumption
节奏	jie2zou4	1 rhythm 2 tempo 3 musical pulse 4 cadence 5 beat
杰出	jie2chu1	1 outstanding 2 distinguished 3 remarkable 4 prominent 5 illustrious
截止	jie2zhi3	1 to end; to close 2 (electricity) cut-off
截至	jie2zhi4	1 up to (a time) 2 by (a time)
解	jie3	1 to divide 2 to break up 3 to split 4 to separate 5 to dissolve 6 to solve 7 to melt 8 to remove 9 to untie 10 to loosen 11 to open 12 to emancipate 13 to explain 14 to understand 15 to know 16 a solution 17 a dissection
解说	jie3shuo1	to explain (verbally); to give a running commentary
界	jie4	1 (bound form) boundary; border 2 (bound form) realm
借鉴	jie4jian4	1 to draw on (others' experience) 2 to learn from (how others do things) 3 lesson to be learned (by observing others)
金额	jin1e2	1 sum of money 2 monetary value
金钱	jin1qian2	1 money 2 currency
金融	jin1rong2	1 banking 2 finance 3 financial
尽	jin3	1 to the greatest extent 2 (when used before a noun of location) furthest or extreme 3 to be within the limits of 4 to give priority to
进攻	jin4gong1	1 to attack 2 to assault 3 to go on the offensive 4 attack 5 assault 6 offense (sports)
近日	jin4ri4	1 (in) the past few days 2 recently 3 (within) the next few days
近视	jin4shi4	1 shortsighted 2 nearsighted 3 myopia
惊人	jing1ren2	astonishing
惊喜	jing1xi3	1 nice surprise 2 to be pleasantly surprised
精	jing1	1 essence 2 extract 3 vitality 4 energy 5 semen 6 sperm 7 mythical goblin spirit 8 highly perfected 9 elite 10 the pick of sth 11 proficient (refined ability) 12 extremely (fine) 13 selected rice (archaic)
精美	jing1mei3	exquisite; elegant; fine
精品	jing1pin3	1 quality goods 2 premium product 3 fine work (of art)
井	jing3	1 a well M: 口kǒu [口] 2 neat 3 orderly
景	jing3	1 (bound form) scenery 2 circumstance 3 situation 4 scene (of a play) 5 (literary) sunlight
景点	jing3dian3	tourist attraction; scenic spot
净	jing4	1 clean 2 completely 3 only 4 net (income, exports etc) 5 (Chinese opera) painted face male role
纠纷	jiu1fen1	dispute
纠正	jiu1zheng4	1 to correct 2 to make right
酒水	jiu3shui3	beverage; drink
救命	jiu4ming4	1 to save sb's life 2 (interj.) Help! 3 Save me!
救援	jiu4yuan2	1 to save 2 to support 3 to help 4 to assist
救助	jiu4zhu4	1 to help sb in trouble 2 aid 3 assistance
就是说	jiu4shi4shuo1	in other words; that is
就算	jiu4suan4	(coll.) even if
局	ju2	narrow
剧	ju4	1 theatrical work (play, opera, TV series etc) 2 dramatic (change, increase etc) 3 acute 4 severe
据	ju4	1 according to 2 to act in accordance with 3 to depend on 4 to seize 5 to occupy
捐	juan1	1 to relinquish; to abandon 2 to contribute; to donate 3 (bound form) tax; levy
捐款	juan1kuan3	1 to donate money 2 to contribute funds 3 donation 4 contribution (of money)
捐赠	juan1zeng4	1 to contribute (as a gift) 2 to donate 3 benefaction
捐助	juan1zhu4	1 to donate 2 to offer (aid) 3 contribution 4 donation
决策	jue2ce4	1 strategic decision 2 decision-making 3 policy decision 4 to determine policy
觉悟	jue2wu4	1 to come to understand 2 to realize 3 consciousness 4 awareness 5 Buddhist enlightenment (Sanskrit: cittotpāda)
绝	jue2	1 to cut short 2 extinct 3 to disappear 4 to vanish 5 absolutely 6 by no means
绝大多数	jue2da4duo1shu4	the vast majority
军队	jun1dui4	armed forces; troops M: 支zhī [支] / 个gè [个]
军舰	jun1jian4	1 warship 2 military naval vessel M: 艘sōu [艘]
军事	jun1shi4	1 military affairs 2 (attributive) military
开创	kai1chuang4	to initiate; to start; to found
开关	kai1guan1	1 power switch 2 gas valve 3 to open the city (or frontier) gate 4 to open and close 5 to switch on and off
开设	kai1she4	1 to offer (goods or services) 2 to open (for business etc)
开通	kai1tong5	open-minded
开头	kai1tou2	1 beginning 2 to start
开夜车	kai1ye4che1	1 to burn the midnight oil 2 to work late into the night
看	kan4	1 to see; to look at 2 to read 3 to watch 4 to visit; to call on 5 to consider; to regard as 6 to look after 7 to treat (a patient or illness) 8 to depend on 9 to feel (that) 10 (after a verb) to give it a try 11 to watch out for
看管	kan1guan3	to look after
看得见	kan4de2jian4	1 can see 2 visible
看得起	kan4de5qi3	1 to show respect for 2 to think highly of
看好	kan1hao3	to keep an eye on
看作	kan4zuo4	1 to look upon as 2 to regard as
康复	kang1fu4	1 to recuperate 2 to recover (health) 3 to convalesce
抗议	kang4yi4	1 to protest 2 protest
考场	kao3chang3	exam room
考题	kao3ti2	exam question
科研	ke1yan2	(scientific) research
客车	ke4che1	1 coach 2 bus 3 passenger train
肯	ken3	1 to agree; to consent 2 to be willing to
空军	kong1jun1	1 air force 2 (slang) to fail to catch anything (on a fishing trip); to get skunked
口试	kou3shi4	1 oral examination 2 oral test
扣	kou4	1 to fasten 2 to button 3 button 4 buckle 5 knot 6 to arrest 7 to confiscate 8 to deduct (money) 9 discount 10 to knock 11 to smash, spike or dunk (a ball) 12 to cover (with a bowl etc) 13 (fig.) to tag a label on sb 14 (Tw) (loanword) code
酷	ku4	1 ruthless 2 strong (e.g. of wine) 3 (loanword) cool 4 hip
跨	kua4	1 to step across 2 to stride over 3 to straddle 4 to span
快车	kuai4che1	express (train, bus etc)
宽阔	kuan1kuo4	1 expansive 2 wide 3 width 4 thickness
矿	kuang4	1 mineral deposit; ore deposit 2 ore 3 a mine
阔	kuo4	1 rich 2 wide 3 broad
啦	la5	1 sentence-final particle, contraction of 了啊, indicating exclamation 2 particle placed after each item in a list of examples
来往	lai2wang3	1 to come and go 2 to have dealings with 3 to be in relation with
赖	lai4	1 to depend on 2 to hang on in a place 3 bad 4 to renege (on promise) 5 to disclaim 6 to rat (on debts) 7 rascally 8 to blame 9 to put the blame on
栏目	lan2mu4	1 regular column or segment (in a publication or broadcast program) 2 program (TV or radio)
蓝领	lan2ling3	1 blue-collar 2 blue-collar worker
蓝天	lan2tian1	blue sky
懒	lan3	lazy
牢	lao2	1 firm 2 sturdy 3 fold (for animals) 4 sacrifice 5 prison
老乡	lao3xiang1	fellow townsman; fellow villager; sb from the same hometown
冷气	leng3qi4	1 cold air 2 air conditioning
冷水	leng3shui3	1 cold water 2 unboiled water 3 fig. not yet ready (of plans)
礼堂	li3tang2	assembly hall; auditorium M: 座zuò [座]
理	li3	1 texture 2 grain (of wood) 3 inner essence 4 intrinsic order 5 reason 6 logic 7 truth 8 science 9 natural science (esp. physics) 10 to manage 11 to pay attention to 12 to run (affairs) 13 to handle 14 to put in order 15 to tidy up
理财	li3cai2	to manage wealth; to manage finances; money management
理智	li3zhi4	1 reason 2 intellect 3 rationality 4 rational
力	li4	1 power 2 force 3 strength 4 ability 5 strenuously
利	li4	1 sharp 2 favorable 3 advantage 4 benefit 5 profit 6 interest 7 to do good to 8 to benefit
联盟	lian2meng2	1 alliance 2 union 3 coalition
联赛	lian2sai4	1 (sports) league 2 league tournament
联手	lian2shou3	1 lit. to join hands 2 to act together
凉鞋	liang2xie2	sandal
两侧	liang3ce4	two sides; both sides
两手	liang3shou3	1 one's two hands 2 two prongs (of a strategy) 3 both aspects, eventualities etc 4 skills 5 expertise
聊	liao2	1 (coll.) to chat 2 (literary) temporarily; for a while 3 (literary) somewhat; slightly 4 (literary) to depend upon
聊天儿	liao2tian1r5	to chat; to gossip
料	liao4	1 material 2 stuff 3 grain 4 feed 5 to expect 6 to anticipate 7 to guess
裂	lie4	1 to split 2 to crack 3 to break open 4 to rend
灵活	ling2huo2	1 flexible 2 nimble 3 agile
领取	ling3qu3	to receive; to draw; to get
领袖	ling3xiu4	leader
另	ling4	1 other 2 another 3 separate 4 separately
留言	liu2yan2	1 to leave a message; to leave one's comments 2 message
流感	liu2gan3	flu; influenza
楼道	lou2dao4	1 corridor 2 passageway (in storied building)
楼房	lou2fang2	a building of two or more stories M: 栋dòng [栋] / 幢zhuàng [幢] / 座zuò [座]
露	lou4	1 to show 2 to reveal 3 to betray 4 to expose
陆军	lu4jun1	1 army 2 ground forces
录像	lu4xiang4	1 to videotape 2 to videorecord 3 video recording M: 盘pán [盘]
录音机	lu4yin1ji1	1 (tape) recording machine 2 tape recorder M: 台tái [台]
路过	lu4guo4	to pass by or through
露	lu4	1 dew 2 syrup 3 nectar 4 outdoors (not under cover) 5 to show 6 to reveal 7 to betray 8 to expose
旅店	lü3dian4	1 inn 2 small hotel
绿化	lü4hua4	1 to make green with plants 2 to reforest 3 (Internet slang) Islamization
马车	ma3che1	1 cart 2 chariot 3 carriage 4 buggy
嘛	ma5	1 modal particle indicating that sth is obvious 2 particle indicating a pause for emphasis
埋	mai2	to bury
馒头	man2tou5	steamed bun
慢车	man4che1	1 local bus or train 2 slow train with many stops
盲人	mang2ren2	blind person
梅花	mei2hua1	1 plum blossom 2 clubs ♣ (a suit in card games) 3 (dialect) wintersweet
美容	mei3rong2	1 to improve one's appearance (using cosmetics or cosmetic surgery) 2 to make oneself more attractive 3 to beautify
蒙	meng1	1 to deceive 2 to cheat 3 to hoodwink 4 to make a wild guess
蒙	meng2	(literary) sincere; honest; genuine
猛	meng3	1 ferocious 2 fierce 3 violent 4 brave 5 suddenly 6 abrupt 7 (slang) awesome
棉	mian2	1 generic term for cotton or kapok 2 cotton 3 padded or quilted with cotton
免得	mian3de5	so as not to; so as to avoid
面对面	mian4dui4mian4	face to face
面向	mian4xiang4	1 to face 2 to turn towards 3 to incline to 4 geared towards 5 catering for 6 -oriented 7 facial feature 8 appearance 9 aspect 10 facet
妙	miao4	1 clever 2 wonderful
灭	mie4	1 to extinguish or put out 2 to go out (of a fire etc) 3 to exterminate or wipe out 4 to drown
民歌	min2ge1	folk song M: 支zhī [支] / 首shǒu [首]
民工	min2gong1	1 migrant worker (who moved from a rural area of China to a city to find work) 2 temporary worker enlisted on a public project
民警	min2jing3	1 civil police 2 PRC police 3 abbr. for 人民警察
民意	min2yi4	1 public opinion 2 popular will 3 public will
民主	min2zhu3	1 democracy 2 democratic
名额	ming2e2	1 quota 2 number of places 3 place (in an institution, a group etc)
名胜	ming2sheng4	1 a place famous for its scenery or historical relics 2 scenic spot M: 处chù [处]
名义	ming2yi4	1 name 2 titular 3 nominal 4 in name 5 ostensible purpose
名誉	ming2yu4	1 fame 2 reputation 3 honor 4 honorary 5 emeritus (of retired professor)
明日	ming2ri4	tomorrow
命	ming4	1 life 2 fate 3 order or command 4 to assign a name, title etc
膜	mo2	1 membrane 2 film
磨	mo2	1 to rub 2 to grind 3 to polish 4 to sharpen 5 to wear down 6 to die out 7 to waste time 8 to pester 9 to insist
没收	mo4shou1	to confiscate; to seize
墨水	mo4shui3	ink M: 瓶píng [瓶]
母	mu3	1 mother 2 elderly female relative 3 origin 4 source 5 (of animals) female
母鸡	mu3ji1	1 hen 2 don't know (humorous slang mimicking Cantonese 唔知, Jyutping: m4 zī)
母女	mu3nü3	1 mother and daughter 2 mother-daughter
母子	mu3zi3	1 mother and child 2 parent and subsidiary (companies) 3 principal and interest
墓	mu4	1 grave 2 tomb 3 mausoleum
拿走	na2zou3	to take away
奶粉	nai3fen3	powdered milk
奶牛	nai3niu2	1 milk cow 2 dairy cow
难忘	nan2wang4	unforgettable
内地	nei4di4	1 inland 2 interior 3 hinterland
内外	nei4wai4	1 inside and outside 2 domestic and foreign 3 approximately 4 about
内衣	nei4yi1	1 undergarment 2 underwear M: 件jiàn [件]
能否	neng2fou3	1 whether or not 2 can it or can't it 3 is it possible?
泥	ni2	1 mud 2 clay 3 paste 4 pulp
扭	niu3	1 to turn 2 to twist 3 to wring 4 to sprain 5 to swing one's hips
排行榜	pai2hang2bang3	1 the charts (of best-sellers) 2 table of ranking
派出	pai4chu1	1 to send 2 to dispatch
判	pan4	1 (bound form) to differentiate; to distinguish 2 (bound form) clearly (different) 3 to judge; to decide; to grade 4 (of a judge) to sentence
盼望	pan4wang4	to hope for; to look forward to
泡	pao4	1 bubble; foam 2 blister 3 to soak; to steep; to infuse 4 to dawdle; to loiter 5 to pick up (a girl) 6 to get off with (a sexual partner) 7 classifier for occurrences of an action 8 classifier for number of infusions
炮	pao4	1 cannon M: 座zuò [座] 2 firecracker
陪同	pei2tong2	to accompany
配置	pei4zhi4	1 to deploy 2 to allocate 3 configuration 4 allocation
皮球	pi2qiu2	ball (made of rubber, leather etc)
偏	pian1	1 to lean 2 to slant 3 oblique 4 prejudiced 5 to deviate from average 6 to stray from the intended line 7 stubbornly 8 contrary to expectations
贫困	pin2kun4	1 impoverished 2 poverty
品牌	pin3pai2	1 brand name 2 trademark
聘请	pin4qing3	1 to engage 2 to hire (a lawyer etc)
平凡	ping2fan2	1 commonplace 2 ordinary 3 mediocre
平方米	ping2fang1mi3	square meter
平衡	ping2heng2	1 balance 2 equilibrium
平台	ping2tai2	1 platform 2 terrace 3 flat-roofed building
评	ping2	1 to discuss 2 to comment 3 to criticize 4 to judge 5 to choose (by public appraisal)
评选	ping2xuan3	to select on the basis of a vote or consensus
屏幕	ping2mu4	screen (TV, computer or movie)
坡	po1	1 slope M: 个gè [个] 2 sloping 3 slanted
扑	pu1	1 to throw oneself at 2 to pounce on 3 to devote one's energies 4 to flap 5 to flutter 6 to dab 7 to pat 8 to bend over
铺	pu4	1 variant of 铺pù [铺] 2 store
欺负	qi1fu5	to bully
奇妙	qi2miao4	wonderful; marvelous; intriguing; mysterious; strange
企图	qi3tu2	1 to attempt 2 to try 3 attempt M: 种zhǒng [种]
起点	qi3dian3	starting point
起诉	qi3su4	1 to sue 2 to bring a lawsuit against 3 to prosecute
气氛	qi4fen1	atmosphere; mood
恰当	qia4dang4	1 appropriate 2 suitable
恰好	qia4hao3	1 as it turns out 2 by lucky coincidence 3 (of number, time, size etc) just right
恰恰	qia4qia4	1 exactly; just; precisely 2 (loanword) cha-cha; cha-cha-cha (dance)
牵	qian1	1 to lead along 2 to pull (an animal on a tether) 3 (bound form) to involve 4 to draw in
铅笔	qian1bi3	(lead) pencil M: 支zhī [支] / 枝zhī [枝] / 杆gǎn [杆]
谦虚	qian1xu1	1 modest 2 self-effacing 3 to make modest remarks
前方	qian2fang1	1 ahead 2 the front
前来	qian2lai2	1 to come (formal) 2 before 3 previously
潜力	qian2li4	potential; latent capacity
强盗	qiang2dao4	1 to rob (with force) 2 bandit 3 robber M: 个gè [个]
强化	qiang2hua4	1 to strengthen 2 to intensify
强势	qiang2shi4	1 strong 2 powerful 3 (linguistics) emphatic 4 intensive
强壮	qiang2zhuang4	1 strong 2 sturdy 3 robust
桥梁	qiao2liang2	bridge (lit. and fig.)
巧妙	qiao3miao4	1 ingenious; clever 2 ingenuity; artifice
茄子	qie2zi5	1 eggplant (Solanum melongena L.) 2 aubergine 3 brinjal 4 Guinea squash 5 phonetic "cheese" (when being photographed) 6 equivalent of "say cheese"
切实	qie4shi2	1 feasible 2 realistic 3 practical 4 earnestly 5 conscientiously
侵犯	qin1fan4	1 to infringe on 2 to encroach on 3 to violate 4 to assault
亲属	qin1shu3	1 kin 2 kindred 3 relatives
亲眼	qin1yan3	1 with one's own eyes 2 personally
倾向	qing1xiang4	1 trend 2 tendency 3 orientation
清	qing1	1 (of water etc) clear; clean 2 quiet; still 3 pure; uncorrupted 4 clear; distinct 5 to clear; to settle (accounts)
清洁	qing1jie2	1 clean 2 to clean
清洁工	qing1jie2gong1	1 cleaner 2 janitor 3 garbage collector
清明节	Qing1ming2jie2	Qingming or Pure Brightness Festival or Tomb Sweeping Day, celebration for the dead (in early April)
清洗	qing1xi3	1 to wash; to rinse; to clean 2 (fig.) to purge; to get rid of (corrupt individuals etc)
情绪	qing2xu4	1 mood 2 state of mind 3 moodiness M: 种zhǒng [种]
求职	qiu2zhi2	to seek employment
球拍	qiu2pai1	(tennis, badminton etc) racket; (table tennis) paddle; (cricket) bat
球星	qiu2xing1	sports star (ball sport)
球员	qiu2yuan2	(ball sports) player; team member
区分	qu1fen1	1 to differentiate 2 to draw a distinction 3 to divide into categories
渠道	qu2dao4	1 irrigation ditch 2 (fig.) channel 3 means
取款	qu3kuan3	to withdraw money from a bank
取款机	qu3kuan3ji1	ATM
去掉	qu4diao4	1 to get rid of 2 to exclude 3 to eliminate 4 to remove 5 to delete 6 to strip out 7 to extract
权	quan2	1 authority 2 power 3 right 4 (literary) to weigh 5 expedient 6 temporary
权力	quan2li4	1 power 2 authority
全力	quan2li4	1 with all one's strength 2 full strength 3 all-out (effort) 4 fully (support)
全新	quan2xin1	all new; completely new
券	quan4	1 bond (esp. document split in two, with each party holding one half) 2 contract 3 deed (i.e. title deeds) 4 ticket 5 voucher 6 certificate
缺陷	que1xian4	defect; flaw
却是	que4shi4	1 nevertheless 2 actually 3 the fact is ...
让座	rang4zuo4	to give up one's seat for sb
热点	re4dian3	1 hot spot 2 point of special interest
热水	re4shui3	hot water
热水器	re4shui3qi4	water heater
热线	re4xian4	hotline (communications link)
人权	ren2quan2	human rights
认同	ren4tong2	1 to approve of 2 to endorse 3 to acknowledge 4 to recognize 5 to identify oneself with
日夜	ri4ye4	1 day and night 2 around the clock
日语	Ri4yu3	Japanese language
融合	rong2he2	1 a mixture 2 an amalgam 3 fusion 4 welding together 5 to be in harmony with (nature) 6 to harmonize with 7 to fit in
融入	rong2ru4	1 to blend into 2 to integrate 3 to assimilate 4 to merge
如	ru2	1 as 2 as if 3 such as
如一	ru2yi1	1 consistent 2 the same 3 unvarying
乳制品	ru3zhi4pin3	dairy products
入	ru4	1 to enter; to go into 2 to join; to become a member of 3 (bound form) to conform to (as in 入时rùshí [入时]) 4 abbr. for 入声rùshēng [入声] 5 (on product packaging, after {number n} + {classifier}) containing (n pieces) (from Japanese 入 "iri")
入学	ru4xue2	1 to enter a school or college 2 to go to school for the first time as a child
若	ruo4	1 to seem 2 like 3 as 4 if
塞	sai1	1 to plug; to stop up; to stuff in 2 (bound form) a stopper; a cork
赛	sai4	1 to compete 2 competition 3 match 4 to surpass 5 better than 6 superior to 7 to excel
赛场	sai4chang3	1 racetrack 2 field (for athletics competition)
三明治	san1ming2zhi4	(loanword) sandwich
丧失	sang4shi1	1 to lose 2 to forfeit
山峰	shan1feng1	(mountain) peak
山谷	shan1gu3	1 valley 2 ravine
山坡	shan1po1	hillside
伤口	shang1kou3	1 wound 2 cut
伤亡	shang1wang2	1 casualties 2 injuries and deaths
伤员	shang1yuan2	wounded person
商城	shang1cheng2	1 shopping center 2 department store
上当	shang4dang4	1 taken in (by sb's deceit) 2 to be fooled 3 to be duped
上帝	Shang4di4	God
上市	shang4shi4	1 to hit the market (of a new product) 2 to float (a company on the stock market)
上台	shang4tai2	1 to rise to power (in politics) 2 to go on stage (in the theater)
上演	shang4yan3	1 to screen (a movie) 2 to stage (a play) 3 a screening 4 a staging
勺	shao2	1 spoon 2 ladle M: 把bǎ [把] 3 abbr. for 公勺gōngsháo [公勺], centiliter (unit of volume)
少儿	shao4er2	child
舌头	she2tou5	1 tongue M: 个gè [个] 2 enemy soldier captured for the purpose of extracting information
设计师	she4ji4shi1	1 designer 2 architect
涉及	she4ji2	to involve; to relate to; to concern; to touch upon
深化	shen1hua4	1 to deepen 2 to intensify
深深	shen1shen1	1 deep 2 profound
审查	shen3cha2	1 to examine 2 to investigate 3 to censor out 4 censorship
升级	sheng1ji2	1 to go up by one grade; to be promoted 2 to escalate (in intensity) 3 (computing) to upgrade
升学	sheng1xue2	to enter the next grade school
升值	sheng1zhi2	1 to rise in value 2 to appreciate
生活费	sheng1huo2fei4	1 cost of living 2 living expenses 3 alimony
省钱	sheng3qian2	to save money
圣诞节	Sheng4dan4jie2	1 Christmas time 2 Christmas season 3 Christmas
盛行	sheng4xing2	to be in vogue; to be popular; to be prevalent
师父	shi1fu5	1 used for 师傅 (in Taiwan) 2 master 3 qualified worker
师生	shi1sheng1	teachers and students
时而	shi2er2	occasionally; from time to time
时节	shi2jie2	season; time
时期	shi2qi1	1 period 2 phase M: 个gè [个]
时时	shi2shi2	1 often 2 constantly
时装	shi2zhuang1	1 fashion 2 fashionable clothes
识	shi2	1 to know 2 knowledge 3 Taiwan pr. [shì]
识字	shi2zi4	1 to learn to read 2 able to read; literate
实践	shi2jian4	1 practice 2 to put into practice 3 to live up to (a promise) 4 to carry out (a project)
食欲	shi2yu4	appetite
市民	shi4min2	city resident
事后	shi4hou4	1 after the event 2 in hindsight 3 in retrospect
试点	shi4dian3	1 test point 2 to carry out trial 3 pilot scheme
适当	shi4dang4	suitable; appropriate
收藏	shou1cang2	1 to collect (works of art, dolls, antiques etc); to put away for safekeeping; (Internet) to bookmark 2 a collection
收取	shou1qu3	1 to receive 2 to collect
收养	shou1yang3	1 to take in and care for (an elderly person, a dog etc) 2 to adopt (a child) 3 adoption
手续费	shou3xu4fei4	1 service charge 2 processing fee 3 commission
首	shou3	1 head 2 chief 3 first (occasion, thing etc) 4 classifier for poems, songs etc
首次	shou3ci4	1 first 2 first time 3 for the first time
首脑	shou3nao3	1 head (of state) 2 summit (meeting) 3 leader
首席	shou3xi2	chief (representative, correspondent etc)
首相	shou3xiang4	prime minister (of Japan or UK etc)
书房	shu1fang2	1 study (room) 2 studio M: 间jiān [间]
薯片	shu3pian4	fried potato chips
薯条	shu3tiao2	1 french fries 2 french fried potatoes 3 chips
双打	shuang1da3	doubles (in sports) M: 场chǎng [场]
爽	shuang3	1 bright 2 clear 3 crisp 4 open 5 frank 6 straightforward 7 to feel well 8 fine 9 pleasurable 10 invigorating 11 to deviate
水泥	shui3ni2	cement M: 袋dài [袋]
税	shui4	1 taxes 2 duties
顺	shun4	1 to obey 2 to follow 3 to arrange 4 to make reasonable 5 along 6 favorable
说明书	shuo1ming2shu1	1 (technical) manual 2 (book of) directions 3 synopsis (of a play or film) 4 specification (patent) M: 本běn [本]
说实话	shuo1shi2hua4	1 to speak the truth 2 truth to tell 3 frankly
司长	si1zhang3	bureau chief
死亡	si3wang2	1 to die 2 death
四处	si4chu4	1 all over the place 2 everywhere and all directions
寺	si4	1 Buddhist temple 2 mosque 3 government office (old)
送礼	song4li3	to give a present
送行	song4xing2	1 to see someone off 2 to throw someone a send-off party
素质	su4zhi4	1 inner quality 2 basic essence
算了	suan4le5	1 let it be 2 let it pass 3 forget about it
算是	suan4shi4	1 considered to be 2 at last
虽	sui1	1 although 2 even though
岁数	sui4shu5	age (number of years old)
所	suo3	1 actually 2 place 3 classifier for houses, small buildings, institutions etc 4 that which 5 particle introducing a relative clause or passive M: 个gè [个]
踏实	ta1shi5	1 firmly-based 2 steady 3 steadfast 4 to have peace of mind 5 free from anxiety 6 Taiwan pr. [tàshí]
塔	ta3	pagoda (abbr. of 塔婆tǎpó [塔婆], a loanword from Sanskrit stūpa); tower; pylon (CL:座zuò [座]) (loanword) (pastry) tart
踏	ta4	1 to tread 2 to stamp 3 to step on 4 to press a pedal 5 to investigate on the spot
台灯	tai2deng1	1 desk lamp 2 table lamp
太阳能	tai4yang2neng2	solar energy
叹气	tan4qi4	1 to sigh 2 to heave a sigh
探索	tan4suo3	to explore; to probe
探讨	tan4tao3	1 to investigate 2 to probe
趟	tang4	1 classifier for times, round trips or rows 2 a time 3 a trip
掏	tao1	1 to fish out (from pocket) 2 to scoop
特	te4	1 special 2 unique 3 distinguished 4 especially 5 unusual 6 very 7 abbr. for 特克斯tèkèsī [特克斯], tex
特大	te4da4	exceptionally big
特地	te4di4	1 specially 2 for a special purpose
特快	te4kuai4	express (train, delivery etc)
特意	te4yi4	1 specially 2 intentionally
疼痛	teng2tong4	1 pain 2 (of a body part) to be painful; to be sore; to hurt 3 (of a person) to be in pain
踢	ti1	1 to kick 2 to play (e.g. soccer) 3 (slang) butch (in a lesbian relationship)
提交	ti2jiao1	1 to submit (a report etc) 2 to refer (a problem) to sb
提升	ti2sheng1	1 to promote (to a higher-ranking position) 2 to lift; to hoist 3 (fig.) to elevate; to raise; to improve
天然	tian1ran2	natural
天堂	tian1tang2	1 paradise 2 heaven
天下	tian1xia4	1 land under heaven 2 the whole world 3 the whole of China 4 realm 5 rule
添	tian1	to add; to increase; to replenish
田	tian2	1 field 2 farm M: 片piàn [片]
田径	tian2jing4	track and field (athletics)
跳水	tiao4shui3	1 to dive (into water) 2 (sports) diving 3 to commit suicide by jumping into water 4 (fig.) (of stock prices etc) to fall dramatically
听取	ting1qu3	to hear (news); to listen to
通报	tong1bao4	1 to inform 2 to notify 3 to announce 4 circular 5 bulletin 6 (scientific) journal
通道	tong1dao4	1 (communications) channel 2 thoroughfare 3 passage
通红	tong1hong2	1 very red 2 red through and through 3 to blush (deep red)
通话	tong1hua4	1 to hold a conversation 2 to talk over the telephone 3 phone call
通行	tong1xing2	1 to go through; to pass through 2 to be in general use
通讯	tong1xun4	1 communications 2 news story 3 dispatch M: 个gè [个]
同	tong2	1 like 2 same 3 similar 4 together 5 alike 6 with
同胞	tong2bao1	1 born of the same parents 2 sibling 3 fellow citizen 4 compatriot
同行	tong2hang2	1 person of the same profession 2 of the same trade, occupation or industry
同期	tong2qi1	1 the corresponding time period (in a different year etc) 2 concurrent 3 synchronous
同一	tong2yi1	identical; the same
铜牌	tong2pai2	1 bronze medal 2 bronze plaque bearing a business name or logo etc M: 枚méi [枚]
头疼	tou2teng2	headache
投票	tou2piao4	1 to vote 2 vote
透露	tou4lu4	1 to leak out 2 to divulge 3 to reveal
