// HSK 3.0/Level 5
安慰	an1wei4	to comfort; to console
奖励	jiang3li4	1 to reward 2 reward (as encouragement)
交代	jiao1dai4	1 to transfer (duties to sb else) 2 to give instructions; to tell (sb to do sth) 3 to explain; to give an account; to brief 4 to confess; to account for oneself 5 (jocular) to come to a bad end
郊区	jiao1qu1	suburban district; outskirts; suburbs
胶带	jiao1dai4	1 adhesive tape 2 magnetic tape
胶水	jiao1shui3	glue
脚步	jiao3bu4	1 footstep 2 step
接触	jie1chu4	1 to touch 2 to contact 3 access 4 in touch with
接连	jie1lian2	1 on end 2 in a row 3 in succession
解除	jie3chu2	1 to remove 2 to sack 3 to get rid of 4 to relieve (sb of their duties) 5 to free 6 to lift (an embargo) 7 to rescind (an agreement)
解放	jie3fang4	1 to liberate 2 to emancipate 3 liberation 4 refers to the Communists' victory over the Nationalists in 1949 M: 次cì [次]
戒	jie4	1 to guard against 2 to exhort 3 to admonish or warn 4 to give up or stop doing sth 5 Buddhist monastic discipline 6 ring (for a finger)
届	jie4	1 to arrive at (place or time) 2 period 3 to become due 4 classifier for events, meetings, elections, sporting fixtures, years (of graduation)
今日	jin1ri4	today
尽管	jin3guan3	1 despite 2 although 3 even though 4 in spite of 5 unhesitatingly 6 do not hesitate (to ask, complain etc) 7 (go ahead and do it) without hesitating
紧紧	jin3jin3	1 closely 2 tightly
尽可能	jin3ke3neng2	as far as possible; to the best of one's ability
进化	jin4hua4	evolution M: 个gè [个]
近来	jin4lai2	1 recently 2 lately
经费	jing1fei4	1 funds 2 expenditure M: 笔bǐ [笔]
景象	jing3xiang4	1 scene 2 sight (to behold)
警告	jing3gao4	1 to warn 2 to admonish
竞赛	jing4sai4	1 to compete; to race 2 contest; competition; match; race
竞争	jing4zheng1	1 to compete 2 competition
酒鬼	jiu3gui3	drunkard
救灾	jiu4zai1	1 to relieve disaster 2 to help disaster victims
居然	ju1ran2	1 unexpectedly 2 to one's surprise 3 go so far as to
局面	ju2mian4	1 aspect 2 phase 3 situation
局长	ju2zhang3	bureau chief M: 位wèi [位] / 个gè [个]
举动	ju3dong4	1 act 2 action 3 activity 4 move 5 movement
拒绝	ju4jue2	to refuse; to decline; to reject
俱乐部	ju4le4bu4	(loanword) club (the organization or its premises)
剧本	ju4ben3	script; screenplay; scenario; libretto
决不	jue2bu4	1 not at all 2 simply (can) not
绝望	jue2wang4	1 to despair 2 to give up all hope 3 desperate 4 desperation
军人	jun1ren2	1 serviceman 2 soldier 3 military personnel
开幕	kai1mu4	1 to open (a conference) 2 to inaugurate
开幕式	kai1mu4shi4	opening ceremony
看成	kan4cheng2	to regard as
看出	kan4chu1	1 to make out 2 to see
看待	kan4dai4	to look upon; to regard
考核	kao3he2	1 to examine 2 to check up on 3 to assess 4 to review 5 appraisal 6 review 7 evaluation
烤肉	kao3rou4	1 to barbecue meat; to roast meat 2 barbecued meat; roast meat
烤鸭	kao3ya1	roast duck
靠近	kao4jin4	1 to be close to 2 to approach; to draw near
颗	ke1	classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc
咳	hai1	1 sound of sighing 2 (interjection expressing surprise, sorrow, regret, disappointment etc) oh 3 damn 4 wow
可	ke3	1 (prefix) can; may; able to; -able 2 to approve; to permit 3 to suit 4 (particle used for emphasis) certainly; very 5 but; however
可怜	ke3lian2	1 pitiful 2 pathetic 3 to have pity on
可惜	ke3xi1	1 it is a pity 2 what a pity 3 unfortunately
渴望	ke3wang4	1 to thirst for 2 to long for
刻	ke4	1 quarter (hour) 2 moment 3 to carve 4 to engrave 5 to cut 6 oppressive 7 classifier for short time intervals
客户	ke4hu4	client; customer
客气	ke4qi5	1 polite 2 courteous 3 formal 4 modest
客厅	ke4ting1	1 drawing room (room for arriving guests) 2 living room M: 间jiān [间]
课题	ke4ti2	1 task 2 problem 3 issue
肯定	ken3ding4	1 to be certain; to be positive 2 assuredly; definitely 3 to give recognition; to affirm 4 affirmative (answer)
空中	kong1zhong1	1 in the sky 2 in the air
控制	kong4zhi4	to control
口号	kou3hao4	1 slogan 2 catchphrase M: 个gè [个]
库	ku4	1 warehouse 2 storehouse 3 (file) library
快活	kuai4huo5	1 happy 2 cheerful
宽度	kuan1du4	width
狂	kuang2	1 mad 2 wild 3 violent
亏	kui1	1 to lose (money); to have a deficit 2 to be deficient 3 to treat unfairly 4 luckily; fortunately; thanks to 5 (used to introduce an ironic remark about sb who has fallen short of expectations)
困扰	kun4rao3	1 to perplex 2 to disturb 3 to cause complications
落	luo4	1 to fall or drop 2 (of the sun) to set 3 (of a tide) to go out 4 to lower 5 to decline or sink 6 to lag or fall behind 7 to fall onto 8 to rest with 9 to get or receive 10 to write down 11 whereabouts 12 settlement
来信	lai2xin4	1 incoming letter 2 to send us a letter
烂	lan4	1 soft; mushy 2 well-cooked and soft 3 to rot; to decompose 4 rotten 5 worn out 6 chaotic; messy 7 utterly; thoroughly 8 crappy; bad
朗读	lang3du2	to read aloud
浪漫	lang4man4	romantic
劳动	lao2dong4	1 work 2 toil 3 physical labor M: 次cì [次]
梨	li2	pear M: 个gè [个]
礼	li3	1 gift 2 rite 3 ceremony M: 份fèn [份] 4 propriety 5 etiquette 6 courtesy
礼拜	li3bai4	1 to attend a religious service 2 (coll.) week 3 (coll.) Sunday
礼貌	li3mao4	1 courtesy; politeness; manners 2 courteous; polite
厉害	li4hai5	1 (used to describe sb or sth that makes a very strong impression, whether favorable or unfavorable) terrible; intense; severe; devastating; amazing; awesome; outstanding 2 (of a person) stern; strict; harsh; shrewd; tough 3 (of an animal) fierce 4 (of a resemblance) striking 5 (of liquor or chili pepper) strong 6 (of bacteria) virulent
立	li4	1 to stand 2 to set up 3 to establish 4 to lay down 5 to draw up 6 at once 7 immediately
立场	li4chang3	1 position 2 standpoint M: 个gè [个]
利润	li4run4	profits
例外	li4wai4	1 exception 2 to be an exception
连接	lian2jie1	to link; to join; to connect
联络	lian2luo4	1 to get in touch with 2 to contact 3 to stay in contact (with) 4 liaison 5 (math.) connection
联想	lian2xiang3	1 to associate (cognitively) 2 to make an associative connection 3 mental association 4 word prediction and auto-complete functions of input method editing programs
脸盆	lian3pen2	1 washbowl 2 basin for washing hands and face M: 个gè [个]
脸色	lian3se4	1 complexion 2 look
恋爱	lian4ai4	1 (romantic) love M: 个gè [个] / 场chǎng [场] 2 in love 3 to have an affair
两岸	liang3an4	1 bilateral 2 both shores 3 both sides 4 both coasts 5 Taiwan and mainland
邻居	lin2ju1	neighbor M: 个gè [个]
铃	ling2	(small) bell M: 只zhī [只]
铃声	ling2sheng1	1 ring 2 ringtone 3 bell stroke 4 tintinnabulation
领带	ling3dai4	necktie M: 条tiáo [条]
令	ling4	1 to order 2 to command 3 an order 4 warrant 5 writ 6 to cause 7 to make sth happen 8 virtuous 9 honorific title 10 season 11 government position (old) 12 type of short song or poem
流动	liu2dong4	1 to flow 2 to circulate 3 to go from place to place 4 to be mobile 5 (of assets) liquid
流通	liu2tong1	1 to circulate; to distribute 2 circulation; distribution
漏	lou4	1 to leak 2 to divulge 3 to leave out by mistake 4 waterclock or hourglass (old)
漏洞	lou4dong4	1 leak 2 hole 3 gap 4 loophole
逻辑	luo2ji5	(loanword) logic
落实	luo4shi2	1 practical 2 workable 3 to implement 4 to carry out 5 to decide
码头	ma3tou5	wharf; dock; quay; pier
骂	ma4	1 to scold 2 to abuse 3 to curse M: 通tòng [通] / 顿dùn [顿]
买卖	mai3mai5	1 purchase and sale; transaction 2 shop; store
漫长	man4chang2	1 very long 2 endless
漫画	man4hua4	1 caricature 2 cartoon 3 Japanese manga
毛笔	mao2bi3	writing brush M: 枝zhī [枝] / 管guǎn [管]
矛盾	mao2dun4	1 contradiction M: 个gè [个] 2 conflicting views 3 contradictory
冒	mao4	1 to emit; to give off; to send out (or up, forth) 2 to brave; to face 3 (bound form) reckless 4 to falsely adopt (sb's identity etc); to feign 5 (literary) to cover
贸易	mao4yi4	(commercial) trade M: 个gè [个]
煤	mei2	coal M: 块kuài [块]
煤气	mei2qi4	1 coal gas 2 gas (fuel)
门诊	men2zhen3	outpatient service
迷人	mi2ren2	1 fascinating 2 enchanting 3 charming 4 tempting
迷信	mi2xin4	1 superstition 2 to have a superstitious belief (in sth)
面貌	mian4mao4	1 face; features 2 appearance; look M: 个gè [个]
面子	mian4zi5	1 outer surface; the outside of sth 2 social prestige; face
秒	miao3	1 second (unit of time) 2 arc second (angular measurement unit) 3 (coll.) instantly
敏感	min3gan3	1 sensitive 2 susceptible
明亮	ming2liang4	1 bright 2 shining 3 glittering 4 to become clear
明明	ming2ming2	1 obviously 2 plainly 3 undoubtedly 4 definitely
命令	ming4ling4	1 order 2 command M: 道dào [道] / 个gè [个]
模范	mo2fan4	1 model 2 fine example
模仿	mo2fang3	1 to imitate 2 to copy 3 to emulate 4 to mimic 5 model
模糊	mo2hu5	1 vague 2 indistinct 3 fuzzy
模式	mo2shi4	mode; pattern; model
摩擦	mo2ca1	1 friction 2 rubbing 3 chafing 4 fig. disharmony 5 conflict
摩托	mo2tuo1	1 (loanword) motor 2 (loanword) motorbike; motorcycle (abbr. for 摩托车mótuōchē [摩托车])
模样	mu2yang4	1 look 2 style 3 appearance 4 approximation 5 about M: 个gè [个] 6 also pr. [móyàng]
目光	mu4guang1	1 gaze; (fig.) attention 2 expression in one's eyes; look 3 (lit. and fig.) sight; vision
耐心	nai4xin1	1 to be patient 2 patience
男性	nan2xing4	1 the male sex 2 a male
南北	nan2bei3	1 north and south 2 north to south
南极	nan2ji2	south pole
难得	nan2de2	1 seldom 2 rare 3 hard to come by
难以	nan2yi3	hard to (predict, imagine etc)
脑子	nao3zi5	1 brains 2 mind M: 个gè [个]
内在	nei4zai4	1 inner 2 internal 3 intrinsic 4 innate
能量	neng2liang4	1 energy 2 capabilities
年度	nian2du4	1 year (e.g. school year, fiscal year) 2 annual
年龄	nian2ling2	(a person's) age M: 把bǎ [把] / 个gè [个]
年前	nian2qian2	1 by the end of the year 2 at the end of the year; shortly before New Year
牛	niu2	1 ox 2 cow 3 bull M: 条tiáo [条] / 头tóu [头] 4 newton (abbr. for 牛顿niúdùn [牛顿]) 5 (slang) awesome
牛仔裤	niu2zai3ku4	jeans M: 条tiáo [条]
农产品	nong2chan3pin3	agricultural produce
女性	nü3xing4	1 woman 2 the female sex
暖	nuan3	1 warm 2 to warm
偶尔	ou3er3	1 occasionally 2 once in a while 3 sometimes
偶然	ou3ran2	1 incidentally 2 occasional 3 occasionally 4 by chance 5 randomly
偶像	ou3xiang4	idol
拍摄	pai1she4	to take (a picture); to shoot (a film)
排除	pai2chu2	1 to eliminate 2 to remove 3 to exclude 4 to rule out
旁	pang2	1 one side 2 other 3 different 4 lateral component of a Chinese character (such as 刂dāo [刂], 亻rén [亻] etc)
陪	pei2	1 to accompany 2 to keep sb company 3 to assist 4 old variant of 赔péi [赔]
赔	pei2	1 to compensate for loss 2 to indemnify 3 to suffer a financial loss
赔偿	pei2chang2	to compensate
配备	pei4bei4	1 to allocate 2 to provide 3 to outfit with
配套	pei4tao4	1 to form a complete set 2 compatible 3 matching 4 complementary
喷	pen1	1 to spout; to spurt; to spray; to puff 2 (slang) to criticize scathingly (esp. online)
盆	pen2	1 basin 2 flower pot 3 unit of volume equal to 12 斗dǒu [斗] and 8 升shēng [升], approx 128 liters M: 个gè [个]
披	pi1	1 to drape over one's shoulders 2 to open 3 to unroll 4 to split open 5 to spread out
皮肤	pi2fu1	skin M: 层céng [层] / 块kuài [块]
皮鞋	pi2xie2	leather shoes
脾气	pi2qi5	1 character; temperament; disposition 2 bad temper M: 股gǔ [股]
匹	pi3	1 (bound form) matching; comparable to 2 (bound form) alone; single; one of a pair 3 classifier for horses, mules etc (Taiwan pr. [pī]) 4 classifier for cloth: bolt 5 horsepower
骗	pian4	1 to cheat 2 to swindle 3 to deceive 4 to get on (a horse etc) by swinging one leg over
骗子	pian4zi5	1 swindler 2 a cheat
拼	pin1	1 to piece together; to put together 2 to pool (resources etc); to share 3 to risk all; to go all out 4 to spell (words)
频道	pin2dao4	1 frequency 2 (television) channel
频繁	pin2fan2	1 frequently 2 often
品	pin3	1 (bound form) article; commodity; product; goods 2 (bound form) grade; rank 3 kind; type; variety 4 character; disposition; nature; temperament 5 to taste sth; to sample 6 to criticize; to comment; to judge; to size up 7 fret (on a guitar or lute)
品种	pin3zhong3	1 breed 2 variety M: 个gè [个]
平坦	ping2tan3	1 level 2 even 3 smooth 4 flat
平原	ping2yuan2	1 field 2 plain M: 个gè [个]
评估	ping2gu1	1 to evaluate 2 to assess 3 assessment 4 evaluation
评论	ping2lun4	1 to comment on 2 to discuss 3 comment 4 commentary M: 篇piān [篇]
凭	ping2	1 to lean against 2 to rely on 3 on the basis of 4 no matter (how, what etc) 5 proof
泼	po1	1 to splash 2 to spill 3 rough and coarse 4 brutish
葡萄	pu2tao5	grape
葡萄酒	pu2tao5jiu3	(grape) wine
期望	qi1wang4	1 to have expectations 2 to earnestly hope 3 expectation 4 hope
齐全	qi2quan2	1 complete 2 comprehensive
其	qi2	1 his 2 her 3 its 4 their 5 that 6 such 7 it (refers to sth preceding it)
启动	qi3dong4	1 to start (a machine) 2 (fig.) to set in motion 3 to launch (an operation) 4 to activate (a plan)
启发	qi3fa1	1 to enlighten 2 to explain (a text etc) 3 to stimulate (a mental attitude) 4 enlightenment 5 revelation 6 motivation
启事	qi3shi4	1 announcement (written, on billboard, letter, newspaper or website) 2 to post information 3 a notice
起到	qi3dao4	(in an expression of the form 起到qǐdào [起到] + … + 作用zuòyòng [作用]) to have (a (motivating etc) effect); to play (a (stabilizing etc) role)
起码	qi3ma3	at the minimum; at the very least
气体	qi4ti3	gas (i.e. gaseous substance)
气象	qi4xiang4	1 meteorological condition; weather 2 meteorology 3 atmosphere; ambience; scene
签	qian1	1 to sign one's name 2 to write brief comments on a document 3 inscribed bamboo stick (variant of 签qiān [签]) 4 visa
签订	qian1ding4	to agree to and sign (a treaty etc)
签名	qian1ming2	1 to sign (one's name with a pen etc) 2 to autograph 3 signature
签约	qian1yue1	to sign a contract or agreement
签证	qian1zheng4	1 visa 2 to issue a visa
签字	qian1zi4	1 to sign (one's name) 2 signature
前景	qian2jing3	1 foreground 2 vista 3 (future) prospects 4 perspective
前提	qian2ti2	1 premise 2 precondition 3 prerequisite
欠	qian4	1 to owe 2 to lack 3 (literary) to be deficient in 4 (bound form) yawn 5 to raise slightly (a part of one's body)
枪	qiang1	1 gun 2 firearm 3 rifle 4 spear 5 thing with shape or function similar to a gun M: 支zhī [支] / 把bǎ [把] / 杆gǎn [杆] / 条tiáo [条] / 枝zhī [枝] 6 to substitute for another person in a test 7 to knock 8 classifier for rifle shots
强度	qiang2du4	1 strength 2 intensity M: 个gè [个]
墙壁	qiang2bi4	wall
抢	qiang3	1 to fight over 2 to rush 3 to scramble 4 to grab 5 to rob 6 to snatch
抢救	qiang3jiu4	to rescue
强迫	qiang3po4	1 to compel 2 to force
悄悄	qiao1qiao1	1 quiet; making little or no noise 2 surreptitious; stealthy 3 anxious; worried 4 Taiwan pr. [qiǎoqiǎo]
敲	qiao1	1 to hit 2 to strike 3 to tap 4 to rap 5 to knock 6 to rip sb off 7 to overcharge
敲门	qiao1men2	to knock on a door
瞧	qiao2	1 to look at 2 to see 3 to see (a doctor) 4 to visit
琴	qin2	1 guqin 古琴gǔqín [古琴] (a type of zither) 2 musical instrument in general
勤奋	qin2fen4	1 hardworking 2 diligent
青	qing1	1 green 2 blue 3 black 4 youth 5 young (of people)
清晨	qing1chen2	early morning
清理	qing1li3	1 to clear up 2 to tidy up 3 to dispose of
情节	qing2jie2	1 circumstances 2 plot; storyline
情形	qing2xing5	1 circumstances 2 situation M: 个gè [个]
晴朗	qing2lang3	sunny and cloudless
区域	qu1yu4	1 area 2 region 3 district
全都	quan2dou1	1 all 2 without exception
全世界	quan2shi4jie4	1 worldwide 2 entire world
泉	quan2	1 spring (small stream) 2 mouth of a spring 3 coin (archaic)
劝	quan4	1 to advise 2 to urge 3 to try to persuade 4 to exhort 5 to console 6 to soothe
缺乏	que1fa2	to lack; to be short of
确立	que4li4	1 to establish 2 to institute
群体	qun2ti3	1 community 2 colony
群众	qun2zhong4	1 mass 2 multitude 3 the masses
染	ran3	1 to dye 2 to catch (a disease) 3 to acquire (bad habits etc) 4 to contaminate 5 to add color washes to a painting
绕	rao4	1 to wind 2 to coil (thread) 3 to rotate around 4 to spiral 5 to move around 6 to go round (an obstacle) 7 to by-pass 8 to make a detour 9 to confuse 10 to perplex
热量	re4liang4	1 heat 2 quantity of heat 3 calorific value
热门	re4men2	popular; hot; in vogue
人间	ren2jian1	1 the human world 2 the earth
人力	ren2li4	1 manpower 2 labor power
人士	ren2shi4	1 person 2 figure 3 public figure
人物	ren2wu4	1 person; personage; figure (esp. sb of importance) 2 character (in a play, novel etc) 3 (genre of traditional Chinese painting) figure painting
忍	ren3	1 to bear 2 to endure 3 to tolerate 4 to restrain oneself
忍不住	ren3bu5zhu4	1 cannot help 2 unable to bear
忍受	ren3shou4	to bear; to endure
认	ren4	1 to recognize 2 to know 3 to admit
认定	ren4ding4	1 to maintain (that sth is true) 2 to determine (a fact) 3 determination (of an amount) 4 of the firm opinion 5 to believe firmly 6 to set one's mind on 7 to identify with
扔	reng1	1 to throw 2 to throw away
仍旧	reng2jiu4	1 still (remaining) 2 to remain (the same) 3 yet
如此	ru2ci3	like this; so; such
如同	ru2tong2	1 like 2 as
如下	ru2xia4	as follows
入门	ru4men2	1 entrance door 2 to enter a door 3 to learn the basics of a subject; introduction (to a subject); (attributive) entry-level
软	ruan3	1 soft 2 flexible
软件	ruan3jian4	(computer) software
洒	sa3	1 to sprinkle 2 to spray 3 to spill 4 to shed
散	san4	1 to scatter 2 to break up (a meeting etc) 3 to disperse 4 to disseminate 5 to dispel 6 (coll.) to sack
散文	san3wen2	1 (broadly) prose (as opposed to verse) 2 (more narrowly) free-form literary prose, such as essays, sketches and reflections
杀	sha1	1 to kill; to slay; to murder; to attack 2 to weaken; to reduce 3 (dialect) to smart 4 (used after a verb) extremely
杀毒	sha1du2	1 to disinfect 2 (computing) to destroy a computer virus
沙漠	sha1mo4	desert M: 个gè [个]
傻	sha3	foolish
山区	shan1qu1	mountain area M: 个gè [个]
扇	shan1	1 to fan 2 to slap sb on the face
扇	shan4	1 fan 2 sliding, hinged or detachable flat part of sth 3 classifier for doors, windows etc
扇子	shan4zi5	fan M: 把bǎ [把]
商标	shang1biao1	1 trademark 2 logo
上级	shang4ji2	1 higher authorities 2 superiors M: 个gè [个]
上下	shang4xia4	1 the top and bottom of sth 2 the full vertical extent of sth; from top to bottom 3 to go up and down 4 before and after (as in 上下文shàngxiàwén [上下文] "context") 5 (used after a quantity) approximately; ... or so 6 (in a social hierarchy) the high and the low; seniors and juniors (as in 上下和睦-shàngxià-hémù [上下和睦] "harmony between superiors and subordinates") 7 all members of a group (as in 举国上下-jǔguó-shàngxià [举国上下] "the entire nation") 8 relative superiority (as in 不相上下-bùxiāng-shàngxià [不相上下] "evenly matched")
上涨	shang4zhang3	1 to rise 2 to go up
稍	shao1	1 somewhat 2 a little
稍微	shao1wei1	a little bit
蛇	she2	1 snake 2 serpent M: 条tiáo [条]
舍不得	she3bu5de5	1 to hate to do sth 2 to hate to part with 3 to begrudge
舍得	she3de5	to be willing to part with sth
设想	she4xiang3	1 to imagine 2 to assume 3 to envisage 4 tentative plan 5 to have consideration for
社	she4	1 (bound form) society; organization; agency 2 (old) god of the land
社区	she4qu1	1 community 2 neighborhood
射	she4	1 to shoot 2 to launch 3 to allude to 4 radio- (chemistry)
射击	she4ji1	to shoot; to fire (a gun)
摄像	she4xiang4	to videotape
摄像机	she4xiang4ji1	video camera M: 部bù [部]
摄影	she4ying3	1 to take a photograph 2 photography 3 to shoot (a movie)
摄影师	she4ying3shi1	photographer; cinematographer; cameraman
伸	shen1	1 to stretch 2 to extend
深处	shen1chu4	1 abyss 2 depths 3 deepest or most distant part
深度	shen1du4	1 depth 2 (of a speech etc) profundity 3 advanced stage of development
神	shen2	1 god; deity 2 supernatural; magical; mysterious 3 spirit; mind; energy 4 lively; expressive 5 look; expression 6 (coll.) awesome; amazing
神经	shen2jing1	1 nerve 2 mental state 3 (coll.) unhinged 4 nutjob
神奇	shen2qi2	1 magical 2 mystical 3 miraculous
神情	shen2qing2	look; expression
升高	sheng1gao1	1 to raise 2 to ascend
生成	sheng1cheng2	1 to generate; to produce; to form; to be formed; to come into being 2 to be born with; to be blessed with
声	sheng1	1 sound 2 voice 3 tone 4 noise 5 reputation 6 classifier for sounds
胜负	sheng4fu4	1 victory or defeat 2 the outcome of a battle
剩	sheng4	1 to remain 2 to be left 3 to have as remainder
剩下	sheng4xia4	to remain; to be left over
失误	shi1wu4	1 lapse 2 mistake 3 to make a mistake 4 fault 5 service fault (in volleyball, tennis etc)
师傅	shi1fu5	1 master 2 qualified worker 3 respectful form of address for older men M: 个gè [个] / 位wèi [位] / 名míng [名]
诗歌	shi1ge1	poem M: 本běn [本] / 首shǒu [首] / 段duàn [段]
十足	shi2zu2	1 ample 2 complete 3 hundred percent 4 a pure shade (of some color)
时常	shi2chang2	often; frequently
时光	shi2guang1	1 time 2 era 3 period of time
时机	shi2ji1	opportunity; opportune moment
时事	shi2shi4	current trends; the present situation; how things are going
实惠	shi2hui4	1 tangible benefit 2 material advantages 3 cheap 4 economical 5 advantageous (deal) 6 substantial (discount)
拾	she4	to ascend in light steps
使得	shi3de5	1 usable; serviceable 2 feasible; workable; doable 3 to make; to cause; to bring about
示范	shi4fan4	1 to demonstrate 2 to show how to do sth 3 demonstration 4 a model example
式	shi4	1 type 2 form 3 pattern 4 style
势力	shi4li5	1 power 2 influence 3 a force (military, political etc)
试图	shi4tu2	1 to attempt 2 to try
视频	shi4pin2	video
视为	shi4wei2	1 to view as 2 to see as 3 to consider to be 4 to deem
收购	shou1gou4	to buy; to purchase; to procure
收集	shou1ji2	1 to gather 2 to collect
收拾	shou1shi5	1 to put in order 2 to tidy up 3 to pack 4 to repair 5 (coll.) to sort sb out 6 to fix sb
手段	shou3duan4	1 method; way; means (of doing sth) 2 skill; ability 3 trick; wile
手法	shou3fa3	1 technique 2 trick 3 skill
寿司	shou4si1	sushi
受灾	shou4zai1	1 disaster-stricken 2 to be hit by a natural calamity
瘦	shou4	1 thin 2 to lose weight 3 (of clothing) tight 4 (of meat) lean 5 (of land) unproductive
书法	shu1fa3	1 calligraphy 2 handwriting 3 penmanship
书柜	shu1gui4	bookcase
书桌	shu1zhuo1	desk M: 张zhāng [张]
输出	shu1chu1	1 to export 2 to output
蔬菜	shu1cai4	vegetables M: 种zhǒng [种]
熟悉	shu2xi1	to be familiar with; to know well
鼠	shu3	(bound form) rat; mouse
鼠标	shu3biao1	mouse (computing)
数目	shu4mu4	1 amount 2 number
摔	shuai1	1 to throw down 2 to fall 3 to drop and break
摔倒	shuai1dao3	1 to fall down 2 to slip and fall 3 to throw sb to the ground
率领	shuai4ling3	1 to lead 2 to command 3 to head
双手	shuang1shou3	both hands
水产品	shui3chan3pin3	aquatic products (including fish, crabs, seaweed etc)
水分	shui3fen4	1 moisture content 2 (fig.) overstatement 3 padding
水库	shui3ku4	reservoir M: 座zuò [座]
水灾	shui3zai1	1 flood 2 flood damage
睡眠	shui4mian2	1 sleep 2 to sleep 3 (computing) to enter sleep mode
说法	shuo1fa5	1 way of speaking 2 wording 3 formulation 4 one's version (of events) 5 statement 6 theory 7 hypothesis 8 interpretation
硕士	shuo4shi4	1 master's degree 2 person who has a master's degree 3 learned person
私人	si1ren2	1 private 2 personal 3 interpersonal 4 sb with whom one has a close personal relationship 5 a member of one's clique
思维	si1wei2	1 (line of) thought 2 thinking
四周	si4zhou1	all around
搜	sou1	1 to search 2 variant of 搜sōu [搜]
搜索	sou1suo3	to search (a place, a database, online etc); to search for (sth)
宿舍	su4she4	1 dormitory 2 dorm room 3 living quarters 4 hostel M: 间jiān [间]
酸甜苦辣	suan1tian2ku3la4	1 lit. sour, sweet, bitter and spicy (idiom) 2 fig. all kinds of flavors; the joys and sorrows of life
随后	sui2hou4	soon after
随意	sui2yi4	1 as one wishes 2 according to one's wishes 3 at will 4 voluntary 5 conscious
随着	sui2zhe5	1 along with 2 in the wake of 3 following
岁月	sui4yue4	1 years 2 time
碎	sui4	1 (transitive or intransitive) to break into pieces; to shatter; to crumble 2 broken; fragmentary; scattered 3 garrulous
损害	sun3hai4	1 harm 2 to damage 3 to impair
损失	sun3shi1	1 loss 2 damage M: 个gè [个] 3 to lose 4 to suffer damage
所在	suo3zai4	1 place 2 location 3 (after a noun) place where it is located
锁	suo3	to lock; to lock up a lock (CL:把bǎ [把])
台风	tai2feng1	stage presence, poise
抬	tai2	1 to lift 2 to raise 3 (of two or more persons) to carry
抬头	tai2tou2	1 to raise one's head; to look up 2 (fig.) to begin to emerge; to show signs of growth 3 (commerce) account name, or space for writing the name on checks, bills etc
太空	tai4kong1	outer space
弹	dan4	1 crossball 2 bullet 3 shot 4 shell 5 ball
逃	tao2	1 to escape 2 to run away 3 to flee
逃跑	tao2pao3	1 to flee from sth 2 to run away 3 to escape
逃走	tao2zou3	1 to escape 2 to flee 3 to run away
桃	tao2	peach
桃花	tao2hua1	1 peach blossom 2 (fig.) love affair
桃树	tao2shu4	peach tree M: 株zhū [株]
讨厌	tao3yan4	1 to dislike 2 to loathe 3 disagreeable 4 troublesome 5 annoying
特定	te4ding4	special; specific; designated; particular
特性	te4xing4	1 property 2 characteristic
特有	te4you3	1 specific (to) 2 characteristic (of) 3 distinctive
提倡	ti2chang4	1 to promote 2 to advocate
提起	ti2qi3	1 to mention; to bring up 2 (lit. and fig.) to lift; to raise 3 to initiate (legal proceedings)
提示	ti2shi4	1 to point out 2 to remind (sb of sth) 3 to suggest 4 suggestion 5 tip 6 reminder 7 notice
题材	ti2cai2	subject matter
体积	ti3ji1	1 volume 2 bulk M: 个gè [个]
体力	ti3li4	1 physical strength 2 physical power
天才	tian1cai2	1 talent 2 gift 3 genius 4 talented 5 gifted
天然气	tian1ran2qi4	natural gas
天文	tian1wen2	astronomy
调节	tiao2jie2	1 to adjust 2 to regulate 3 to harmonize 4 to reconcile (accountancy etc)
调解	tiao2jie3	1 to mediate 2 to bring parties to an agreement
厅	ting1	1 (reception) hall 2 living room 3 office 4 provincial government department
停留	ting2liu2	1 to stay somewhere temporarily 2 to stop over
通用	tong1yong4	1 to use anywhere, anytime (card, ticket etc) 2 to be used by everyone (language, textbook etc) 3 (of two or more things) interchangeable
偷	tou1	1 to steal 2 to pilfer 3 to snatch 4 thief 5 stealthily
偷偷	tou1tou1	1 stealthily 2 secretly 3 covertly 4 furtively 5 on the sly
突破	tu1po4	1 to break through 2 to make a breakthrough 3 to surmount (an obstacle) 4 (sports) to break through the opponent's defense
土豆	tu3dou4	potato (CL:个gè [个]) (Tw) peanut (CL:颗kē [颗])
吐	tu3	1 to spit 2 to send out (silk from a silkworm, bolls from cotton flowers etc) 3 to say 4 to pour out (one's grievances)
吐	tu4	1 to vomit 2 to throw up
兔	tu4	rabbit
团长	tuan2zhang3	1 regimental command 2 head of a delegation 3 group buy organizer; group-buying coordinator
推行	tui1xing2	1 to put into effect 2 to carry out
脱离	tuo1li2	1 to separate oneself from 2 to break away from 3 diastasis (medicine) 4 abscission 5 abjunction (botany)
外界	wai4jie4	1 the outside world 2 external
完了	wan2le5	1 to be finished 2 to be done for 3 ruined 4 gone to the dogs 5 oh no
微博	wei1bo2	1 microblogging 2 microblog
为难	wei2nan2	1 to feel embarrassed or awkward 2 to make things difficult (for someone) 3 to find things difficult (to do or manage)
为期	wei2qi1	1 (to be done) by (a certain date) 2 lasting (a certain time)
