// HSK 3.0/Level 5
安慰	an1wei4	to comfort; to console
倡导	chang4dao3	1 to advocate 2 to initiate 3 to propose 4 to be a proponent of (an idea or school of thought)
超越	chao1yue4	to surpass; to exceed; to transcend
车主	che1zhu3	vehicle owner
称	cheng1	1 to weigh 2 to state 3 to name 4 name 5 appellation 6 to praise
称号	cheng1hao4	1 name 2 term of address 3 title
成本	cheng2ben3	(manufacturing, production etc) costs
成交	cheng2jiao1	1 to complete a contract 2 to reach a deal
成效	cheng2xiao4	1 effect 2 result
成语	cheng2yu3	Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation; idiom; proverb; saying; adage M: 条tiáo [条] / 本běn [本] / 句jù [句]
承办	cheng2ban4	1 to undertake 2 to accept a contract
城里	cheng2li3	noun inside the city; in town 城里很热闹。 Chénglǐ hěn rènao. The city is bustling with activity.
乘	cheng2	1 to ride 2 to mount 3 to make use of 4 to avail oneself of 5 to take advantage of 6 to multiply (math.) 7 Buddhist sect or creed
乘车	cheng2che1	1 to ride (in a car or carriage) 2 to drive 3 to motor
乘客	cheng2ke4	passenger
乘坐	cheng2zuo4	to take (a ship, plane etc); to ride (in a train or other vehicle)
吃力	chi1li4	1 to entail strenuous effort 2 to toil at a task 3 strenuous 4 laborious 5 strain
池子	chi2zi5	1 pond 2 bathhouse pool 3 dance floor of a ballroom 4 (old) stalls (front rows in a theater)
迟	chi2	1 late 2 delayed 3 slow
冲动	chong1dong4	1 to have an urge 2 to be impetuous 3 impulse 4 urge
冲突	chong1tu1	1 conflict 2 to conflict 3 clash of opposing forces 4 collision (of interests) 5 contention
充足	chong1zu2	1 adequate 2 sufficient 3 abundant
愁	chou2	to worry about
丑	chou3	1 clown 2 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox 3 ancient Chinese compass point: 30°
臭	chou4	1 stench 2 smelly 3 to smell (bad) 4 repulsive 5 loathsome 6 terrible 7 bad 8 severely 9 ruthlessly 10 dud (ammunition)
出版	chu1ban3	to publish
出差	chu1chai1	to go on an official or business trip
出汗	chu1han4	1 to perspire 2 to sweat
出于	chu1yu2	1 due to 2 to stem from
初期	chu1qi1	1 initial stage 2 beginning period
除非	chu2fei1	1 only if (..., or otherwise, ...) 2 only when 3 only in the case that 4 unless
除夕	Chu2xi1	lunar New Year's Eve
厨房	chu2fang2	kitchen M: 间jiān [间]
处罚	chu3fa2	1 to penalize 2 to punish
处分	chu3fen4	1 to discipline sb 2 to punish 3 disciplinary action 4 to deal with (a matter) M: 个gè [个]
处在	chu3zai4	1 to be situated at 2 to find oneself at
传达	chuan2da2	1 to pass on 2 to convey 3 to relay 4 to transmit 5 transmission
传递	chuan2di4	1 to transmit; to pass on to sb else 2 (math.) transitive
传真	chuan2zhen1	1 to fax 2 a fax 3 (literary) to portray vividly in painting
窗帘	chuang1lian2	window curtains
闯	chuang3	1 to rush 2 to charge 3 to dash 4 to break through 5 to temper oneself (through battling hardships)
创立	chuang4li4	to establish; to set up; to found
辞典	ci2dian3	dictionary (variant of 词典cídiǎn [词典]) M: 本běn [本] / 部bù [部]
辞职	ci2zhi2	to resign
此后	ci3hou4	1 after this 2 afterwards 3 hereafter
此刻	ci3ke4	1 this moment 2 now 3 at present
此时	ci3shi2	1 now 2 this moment
