爱心	ai4xin1	noun love; compassion; caring
坚强	jian1qiang2	adjective strong; firm; staunch  verb strengthen
简单	jian3dan1	adjective 1 simple; uncomplicated (opp. 复杂) 2 [usu. in the negative] commonplace; ordinary 3 oversimplified; casual
简直	jian3zhi2	adverb simply; sheer; at all
建	jian4	verb 1 build; construct; erect 2 establish; set up; found 3 propose; advocate  noun 1 abbreviation Fujian (Province) 2 Jian Jiang River (in Fujian Province)
建成	jian4cheng2	1 to establish 2 to build
建立	jian4li4	verb build; establish; set up; found
建设	jian4she4	verb build; construct
建议	jian4yi4	noun proposal; suggestion; recommendation  verb (-//-) propose; suggest; recommend
将近	jiang1jin4	verb be close to  adverb nearly; almost
将来	jiang1lai2	noun future
交费	jiao1fei4	to pay a fee
交警	jiao1jing3	noun abbreviation traffic police
交流	jiao1liu2	verb 1 exchange; interflow; interchange 2 literary flow simultaneously  adjective electricity alternating
交往	jiao1wang3	verb associate; contact
交易	jiao1yi4	verb engage in trade, transaction, etc.  noun business; deal; trade; transaction
叫	jiao4	verb 1 cry; shout 2 call; greet 3 hire; order 4 name; call  adjective dialect male (animal)  verb 1 ask; order; tell 2 permit; allow  preposition [in a passive sentence to introduce the doer of the action]
较	jiao4	verb 1 compare; contrast 2 literary dispute  adverb comparatively; relatively; fairly; quite; rather  preposition [comparing a difference in degree]  adjective literary clear; obvious; marked
教材	jiao4cai2	noun teaching material
教练	jiao4lian4	noun coach; instructor; trainer  verb train; drill; coach
结实	jie1shi5	adjective 1 solid; sturdy; durable 2 strong; sturdy; tough
接待	jie1dai4	verb receive; admit
接近	jie1jin4	verb close to; near; approach
节约	jie2yue1	verb practise thrift; economize; save (opp. 浪费)
结合	jie2he2	verb 1 combine; unite; integrate; link 2 unite in wedlock
结婚	jie2//hun1	verb marry; get married; be married
结束	jie2shu4	verb 1 end; finish; conclude; wind up; close 2 [often in the early vernacular] style of dressing; makeup
解决	jie3jue2	verb 1 solve; resolve; settle 2 dispose of; finish off
解开	jie3//kai1	verb untie; undo
金	jin1	noun 1 metals 2 money 3 ancient metal percussion instruments 4 chemistry gold (Au) 5 (Jīn) a surname  adjective 1 golden 2 highly respected; precious  noun Jin Dynasty
金牌	jin1pai2	noun gold medal; gold
仅	jin3	adverb only; merely; alone
仅仅	jin3jin3	adverb only; merely; alone
尽量	jin3liang4	adverb to the best of one's ability; as far as possible
紧	jin3	verb tighten  adjective 1 tight; taut; close 2 urgent; pressing; tense 3 strict; stringent 4 hard up; short of money
紧急	jin3ji2	adjective urgent; pressing; critical
紧张	jin3zhang1	adjective 1 nervous; keyed up 2 tense; intense; strained 3 in short supply; tight
进步	jin4bu4	verb (-//-) advance; progress; improve (opp. 退步)  adjective (politically) progressive
进一步	jin4yi1bu4	verb (-//-) go a step further  adverb further
进展	jin4zhan3	verb make progress; make headway
近期	jin4qi1	noun near future (opp. 远期)
京剧	jing1ju4	noun Beijing opera
经济	jing1ji4	noun 1 economy 2 financial condition; income  verb literary govern the country  adjective 1 economical; thrifty 2 of industrial or economic value; economic
经历	jing1li4	noun experience  verb go through; undergo; experience
经验	jing1yan4	noun experience  verb go through; experience
经营	jing1ying2	verb manage; operate; run; engage in
精彩	jing1cai3	adjective brilliant; splendid; wonderful
精神	jing1shen2	noun 1 spirit; consciousness 2 mind; mental state; psycho- 3 essence; gist; spirit
景色	jing3se4	noun scenery; view; scene; landscape
警察	jing3cha2	noun police; policeman
静	jing4	adjective still; quiet; calm
久	jiu3	adjective 1 specified duration of time 2 for a long time; long (opp. 暂)
旧	jiu4	noun dated friendship; old friend  adjective 1 past; bygone; old (opp. 新) 2 used; worn; old (opp. 新) 3 former; onetime
救	jiu4	verb 1 rescue; save 2 save from; relieve (distress, etc.)
就是	jiu4shi4	auxiliary [usu. with 了, at the end of a sentence for emphasis]  adverb 1 yes, that's right; exactly; precisely 2 VARIANT OF 24554752就jiu4就2 9 just; simply 3 exactly; precisely  conjunction [used correlatively with 也] even if
就业	jiu4//ye4	verb obtain employment; take up an occupation; get a job (opp. 失业)
举办	ju3ban4	verb conduct; hold; run
具体	ju4ti3	adjective concrete; specific; particular (opp. 抽象)
具有	ju4you3	verb have (sth. immaterial); possess
剧场	ju4chang3	noun theater
据说	ju4shuo1	verb it is said; they say; allegedly
决定	jue2ding4	noun decision; resolution  verb 1 decide; resolve; make up one's mind 2 determine; decide  adjective decisive
决赛	jue2sai4	verb finals
决心	jue2xin1	verb make up one's mind  noun determination; resolution
绝对	jue2dui4	adjective absolute (opp. 相对)  adverb absolutely; perfectly; definitely
咖啡	ka1fei1	adjective coffee-coloured; brown (20897536啡fei1啡 fei1)
开发	kai1fa5	verb pay; distribute
开放	kai1fang4	verb 1 (of flowers) come into bloom; blossom; effloresce 2 lift a ban, restriction, etc.; open 3 open to traffic or public use 4 be open (to the public)  adjective outgoing; open-minded
开始	kai1shi3	noun beginning; outset; commencement  verb begin; start; commence
开业	kai1//ye4	verb 1 (of a shop, etc.) start business 2 (of a lawyer, doctor, etc.) open a private practice
开展	kai1zhan3	verb 1 develop; launch; unfold 2 (of an exhibition or show) open  adjective open-minded; broad-minded
看起来	kan4qi5lai5	adverb seem; appear; look as if (or though)
看上去	kan4shang5qu5	1 it would appear 2 it seems (that)
考验	kao3yan4	verb test; try out
科技	ke1ji4	noun abbreviation science and technology
可靠	ke3kao4	adjective reliable; dependable; trustworthy
可乐	ke3le4	adjective laughable; funny; amusing  noun cola (a carbonated drink)
克服	ke4fu2	verb 1 surmount; overcome; conquer 2 colloquial put up with (hardships, inconveniences, etc.)
客观	ke4guan1	adjective 1 objective 2 objective; not biased
课程	ke4cheng2	noun course; curriculum
空	kong1	adjective empty; hollow; void; unoccupied; vacant  noun sky; air  adverb for nothing; in vain
空调	kong1tiao2	noun abbreviation 1 air conditioning 2 = 25036544空气调节器kong1qi4tiao2jie2qi4空气调节器 air conditioner
恐怕	kong3pa4	verb fear; dread; be afraid of  adverb 1 [indicating an estimation and anxiety] for fear of 2 [indicating an estimation] perhaps; probably; maybe
空儿	kong4r5	noun 1 empty space; room 2 free (or spare) time; leisure
裤子	ku4zi5	noun trousers; pants; breeches; pantaloon
快速	kuai4su4	adjective fast; quick; of highspeed (opp. 慢速)
困	kun4	verb 1 be stranded; be afflicted; be hard pressed 2 surround; encircle; pin down  adjective tired; weary; fatigued; in straits
困难	kun4nan5	adjective 1 difficult 2 financially difficult; economically straitened  noun difficulty; hardness
浪费	lang4fei4	verb waste; squander; throw away  adjective wasteful; extravagant (opp. 节俭)
老百姓	lao3bai3xing4	noun colloquial common (or ordinary) people; civilians
老板	lao3ban3	noun 1 shopkeeper; proprietor; boss 2 dated theater respectful address to an opera star or a troupe leader
老太太	lao3tai4tai5	noun courteous 1 old lady; [in direct address] Venerable Madam 2 your (or his, my) mother (or mother-in-law)
老头儿	lao3tou2r5	noun colloquial [with an overtone of intimacy] old man; old chap
乐	le4	noun pleasure; enjoyment  verb 1 be glad to; find pleasure in; enjoy 2 colloquial laugh; be amused  adjective happy; cheerful; joyful
乐观	le4guan1	adjective optimistic; hopeful; sanguine (opp. 悲观)
类	lei4	noun kind; type; class; category  verb resemble; be similar to  affix like; -oid (meaning “similar to, characteristic of”)
类似	lei4si4	verb similar (to); analogous (to)
离婚	li2//hun1	verb divorce
里面	li3mian5	noun inside; interior (opp. 外面儿)
理发	li3//fa4	verb (usu. of men) get a haircut (or go to the barber's); give sb. a haircut; (less often of women) go to the hairdresser's (or have one's hair done); do one's hair
理解	li3jie3	verb understand; comprehend
理论	li3lun4	noun theory; principle (opp. 实践)  verb argue; debate
理由	li3you2	noun reason; ground; argument
力	li4	noun 1 power; strength; ability 2 physical strength 3 physics force  adjective strong; efficient; capable  adverb energetically; vigorously
力量	li4liang5	noun 1 physical strength 2 power; force; strength 3 potency; efficacy; strength
立刻	li4ke4	adverb immediately; at once; right away; in the turn of a hand
利用	li4yong4	verb 1 use; utilize; make use of 2 take advantage of; exploit
连	lian2	noun 1 military company 2 (Lián) a surname  verb 1 link; join; connect 2 involve (in trouble); implicate  adverb continuously; in succession; one after another  preposition 1 including 2 [used correlatively with 也,都, etc.] even
连忙	lian2mang2	adverb hastily; hurriedly; promptly
连续	lian2xu4	adverb continuously; successively; in a row
连续剧	lian2xu4ju4	serial
联合	lian2he2	verb unite; ally  adjective joint; combined  noun combination; alliance; union; coalition
联合国	Lian2he2guo2	noun the United Nations (UN)
联系	lian2xi4	noun contact; touch; connection; relation  verb 1 arrange; get in touch with 2 integrate; relate; link
凉水	liang2shui3	noun 1 cold water 2 unboiled water
了	le5	auxiliary 1 [after a verb or an adjective to indicate the completion of an action, at a point in the past or before the beginning of another action, or an expected or presumed action] 2 [at the end of a sentence, usu. after 了 for completed action, to indicate that sth. has taken place] 3 [at the end of a sentence to indicate a change of situation or state, whether actual or envisaged] 4 [after an adjective, with or without 太 “too”, to express an excessive degree, i.e. to indicate that sth. has gone to the extreme] 5 [in commands or requests in response to a changed situation]
领	ling3	noun 1 original meaning neck 2 collar; neckband 3 outline; main point  verb 1 lead; usher 2 receive; draw; get 3 take; accept 4 understand; comprehend; grasp  measure word literary [classifier for mats, gowns or coats]
领导	ling3dao3	noun leadership; leader  verb lead; exercise leadership
领先	ling3//xian1	verb be in the lead; lead
另外	ling4wai4	adverb 1 in addition; besides 2 in place of  pronoun [with nouns] different; other  conjunction in addition; besides
另一方面	ling4yi1fang1mian4	1 on the other hand 2 another aspect
留学	liu2//xue2	verb study abroad
龙	long2	noun 1 dragon 2 dragon as the symbol of the emperor; of the emperor 3 shaped like a dragon; with a dragon design 4 archaeology huge extinct reptile; dinosaur 5 figurative person of great achievement; successful person 6 figurative country or region with rapid economic development 7 figurative long queue; continuous line 8 long and round pipe 9 (Lóng) a surname
录	lu4	noun record; register; collection  verb 1 record; write down; copy 2 choose; employ; hire 3 tape-record
录音	lu4yin1	noun sound-recording  verb (-//-) tape-record (sound); record; tape
路线	lu4xian4	noun 1 route; itinerary 2 method; ways and means 3 line; guideline for ideology, politics or work
旅馆	lü3guan3	noun inn; hotel
旅行社	lü3xing2she4	travel agency (or service)
绿茶	lü4cha2	noun green tea
乱	luan4	noun 1 upheaval; riot; unrest; turmoil 2 disorder; disturbance; trouble 3 archaic literature last paragraph of a musical composition or genre of classical Chinese poetry  verb throw into disorder; confuse; mix up  adjective 1 in disorder; in a mess; in confusion 2 in a confused state of mind 3 (of a society) turbulent; riotous 4 (of sexual relationships) improper; promiscuous  adverb indiscriminately; at random; arbitrarily
落后	luo4//hou4	verb 1 be (or fall, lag) behind 2 (of work) lag behind schedule  adjective backward; behind the times (opp. 先进)
麻烦	ma2fan5	adjective troublesome; inconvenient  noun trouble; inconvenience  verb inconvenience sb.; trouble sb.; bother
马	ma3	noun 1 horse 2 the horse piece in Chinese chess 3 (Mǎ) a surname  adjective big; large
满足	man3zu2	verb 1 satisfied; content; contented 2 satisfy; meet (needs, demands, etc.)
慢慢	man4man4	adverb slowly; leisurely
毛	mao2	noun 1 (of an animal, plant, etc.) hair; feather; down 2 (of humans) hair; beard 3 plant; crop 4 wool 5 mildew; mould 6 (Máo) a surname  adjective 1 rough; semi-finished 2 gross 3 little; small 4 thin  adjective 1 careless; crude; rash 2 panic; scared; nervous 3 dialect get angry; lose one's temper  verb colloquial 1 (of currency) no longer worth its face value; depreciated 2 (of horses, cattle, etc.) be startled  measure word colloquial mao (a fractional unit of money in China, equal to 1/10 yuan or 10 fen)
毛病	mao2bing5	noun 1 (of a machine) trouble; mishap; breakdown 2 defect; shortcoming; fault; mistake 3 bad habit; shortcoming 4 dialect illness
没用	mei2yong4	useless
媒体	mei2ti3	noun medium; mass media
每	mei3	pronoun every; each; per  adverb 1 on each occasion; each time; per 2 literary often
美	mei3	noun beauty (opp. 丑)  verb 1 beautify; prettify 2 colloquial be pleased with oneself; pride oneself upon; feel smug  adjective 1 beautiful; pretty (opp. 丑) 2 very satisfactory; good; pleasing  noun 1 abbreviation American continent 2 abbreviation America; the United States of America; the US
美好	mei3hao3	adjective fine; happy; glorious
美丽	mei3li4	adjective beautiful
美食	mei3shi2	noun good food; delicacy; table delicacies
美术	mei3shu4	noun 1 the fine arts; art 2 painting
美元	mei3yuan2	noun American dollar; US dollar; greenback
迷	mi2	noun fan; enthusiast; fiend  verb 1 be confused; lose one's way; lost 2 be fascinated by; be crazy about 3 confuse; perplex; fascinate; enchant
米	mi3	noun 1 (husked) rice 2 shelled (or husked) seed 3 anything resembling a grain of rice 4 (Mǐ) a surname  measure word transliteration metre (m)
面对	mian4dui4	verb face; confront
面积	mian4ji1	noun area
民间	min2jian1	noun 1 among the people; popular; folk 2 nongovernmental; people-to-people
民族	min2zu2	noun nation; nationality; ethnic group
明确	ming2que4	verb make clear (or definite); clarify  adjective clear and definite; clear-cut; explicit; unequivocal
明显	ming2xian3	adjective clear; obvious; evident; distinct
命运	ming4yun4	noun 1 destiny; fate; lot 2 trend of development; tendency of change
某	mou3	pronoun 1 certain; some 2 [referring to oneself]
母亲	mu3qin5	noun mother
木头	mu4tou5	noun 1 wood; log; timber 2 woodenhead; blockhead
目标	mu4biao1	noun 1 objective; target 2 goal; aim; objective
目前	mu4qian2	noun at present; at the moment
奶茶	nai3cha2	noun tea with milk; milk tea
男子	nan2zi3	noun man; male
南部	nan2bu4	noun southern part; south
难道	nan2dao4	adverb [giving force to a rhetorical question]
难度	nan2du4	noun degree of difficulty; difficulty
内	nei4	noun 1 inside; interior; inner part or side (opp. 外) 2 [before a noun or verb in forming a compound word] inner; internal 3 self-deprecating one's wife or her relatives 4 [after a noun to indicate place, time, scope or limits] within; in; inside 5 heart; mind
内容	nei4rong2	noun content; substance
内心	nei4xin1	noun 1 heart; innermost being 2 mathematics incentre (of a triangle)
能不能	neng2 bu4neng2
能力	neng2li4	noun ability; capacity; capability
年初	nian2chu1	noun beginning of the year
年代	nian2dai4	noun 1 age; years; time 2 decade of a century
年底	nian2di3	noun end of the year; year's end
年纪	nian2ji4	noun age
念	nian4	noun 1 thought; idea 2 (Niàn) a surname  verb 1 think of; miss 2 consider; take into account  verb 1 read aloud 2 attend school  number twenty [used for the numeral 廿 on cheques, etc. to avoid mistakes or alterations]
牛	niu2	noun 1 ox; cattle 2 second of the 12 symbolic animals associated with a 12-year cycle 3 archaic astronomy niu (ninth of the twenty-eight constellations (二十八宿) into which the celestial sphere was divided, consisting of six stars, three in Aries and three in Sagittarius) 4 (Niú) a surname  adjective stubborn; arrogant  measure word abbreviation VARIANT OF 27411712牛顿niu2dun4牛顿2
农村	nong2cun1	noun rural area; countryside; village
农民	nong2min2	noun peasant; peasantry; farmer
农业	nong2ye4	noun agriculture; farming
女子	nü3zi3	noun woman; female
暖和	nuan3huo5	verb warm up  adjective (of weather, environment, etc.) warm; mild
怕	pa4	verb 1 fear; dread; afraid of 2 cannot withstand; affected by 3 afraid something might happen; anxious about; concerned for (or about)  adverb [expressing supposition, judgement, estimation, etc.] I am afraid (that); I suppose; perhaps
拍	pai1	noun 1 bat; racket 2 music beat; time  verb 1 clap; pat; beat 2 take (a picture); shoot 3 send (a telegram, etc.) 4 colloquial flatter; fawn on 5 colloquial abbreviation auction
排	pai2	noun 1 row; line 2 military platoon 3 abbreviation volleyball  verb 1 arrange; put in order; line up 2 rehearse  measure word row; line  noun raft  verb 1 exclude; eject; discharge 2 discriminate against 3 literary push  noun steak; chop; griskin; short rib
排名	pai2//ming2	verb rank
牌子	pai2zi5	noun 1 plate; sign 2 billboard (for notices, advertisements, or slogans) 3 brand; trademark 4 title of a ci or qu poem; name of a ballad tune
派	pai4	noun 1 literary tributary; river branch 2 political group; faction; school of thought or of art, etc. 3 style; manner and air  verb 1 send; dispatch; assign; appoint 2 apportion; allocate; distribute dated 3 censure; blame  measure word 1 [for political groups, schools of thought or art, factions etc.] 2 [with the numeral 一, for a scene, atmosphere, speech, etc.]  adjective dialect stylish; graceful; handsome  noun transliteration pie
判断	pan4duan4	noun logic judgement  verb 1 judge; decide; determine 2 literary pass judgement; pass a verdict in a legal case
胖	pang4	adjective fat; stout; plump (opp. 瘦)
跑步	pao3//bu4	verb 1 run; march at the double 2 (a form of physical exercise) jog
配	pei4	verb 1 join in marriage 2 mate (animals) 3 mix according to a fixed ratio; compound 4 distribute according to plan; apportion 5 find sth. to fit or replace sth. else 6 match; harmonize with; be in harmony with 7 exile; banish 8 set off; foil; contrast  noun spouse [usu. referring to a wife]  adjective subordinate; supplementary; supporting  auxiliary deserve; qualified; suit
配合	pei4he5	adjective harmoniously combine or arrange; go well together; match
批评	pi1ping2	verb criticize; comment  noun criticism
批准	pi1//zhun3	verb ratify; approve; sanction
皮	pi2	noun 1 skin; rind; peel 2 leather; hide; fur 3 cover; wrapper 4 surface 5 broad, flat piece (of some thin material); sheet 6 rubber 7 (Pí) a surname  adjective 1 become soft and soggy 2 naughty 3 case-hardened; apathetic 4 tenacious; sticky
皮包	pi2bao1	noun leather handbag; briefcase; portfolio
啤酒	pi2jiu3	noun beer
票价	piao4jia4	noun price of a ticket; admission fee; entrance fee
评价	ping2jia4	noun comment; assessed value; judgement  verb appraise; evaluate
苹果	ping2guo3	noun apple (the tree and its fruit)
破	po4	verb 1 break; damage 2 split; cleave; cut 3 (of money) change 4 get rid of; destroy; break with 5 defeat; capture (a city, etc.) 6 spend 7 expose the truth of; lay bare  adjective 1 broken; damaged; torn; worn-out 2 paltry; lousy
破坏	po4huai4	verb 1 destroy; wreck; obliterate 2 do great damage to; disrupt; sabotage; harm 3 change (a social system, custom, etc.) completely or violently overturn; reverse 4 violate (an agreement, regulation, etc.); break 5 decompose; destroy (the composition of a substance)
普遍	pu3bian4	adjective universal; general; widespread; common
普及	pu3ji2	verb 1 make universal; make popular among; be widely spread 2 popularize; disseminate; spread among the people; become common  adjective popular; common; universal
期	qi1	noun 1 a period of time; phase; stage 2 scheduled time  verb 1 make an appointment 2 expect  measure word [for things scheduled by periods]
齐	qi2	verb 1 be level with 2 be even at one point or along one line  adjective 1 neat; even; uniform 2 all ready; all present 3 alike; similar  adverb together; simultaneously  noun alloy  1 Qi (a vassal state of the Zhou Dynasty (1046-256BC)) 2 Qi Dynasty (479-502), one of the Southern Dynasties || 3 Northern Qi Dynasty (550-577) 4 a kingdom set up by the leader of a peasant uprising Huang Chao (黄巢) at the end of the Tang Dynasty (881-884) 5 a surname
其次	qi2ci4	conjunction next; secondly; then  adjective secondary
其实	qi2shi2	adverb actually; in fact; as a matter of fact
奇怪	qi2guai4	verb feel surprised; wonder  adjective strange; surprising; odd
气候	qi4hou4	noun 1 climate 2 figurative situation; climate; trend 3 figurative achievement; result
千万	qian1wan4	number ten million; millions upon millions  adverb be sure to; must
前后	qian2hou4	noun 1 around (a certain time); about 2 from beginning to end (in time) 3 in front and behind 4 people or things of the same kind in succession
前进	qian2jin4	verb advance; go forward; forge ahead
前面	qian2mian5	noun 1 above; preceding 2 in front; at the head; ahead
前往	qian2wang3	verb usually literary go to; leave for; proceed to
强	qiang2	adjective 1 strong; powerful (opp. 弱) 2 better  adverb 1 by force 2 slightly more than; plus (opp. 弱)  verb strengthen; make strong  noun (Qiáng) a surname
强大	qiang2da4	adjective big and powerful; powerful; formidable (opp. 弱小)
强调	qiang2diao4	verb stress; emphasize; underline
强烈	qiang2lie4	adjective 1 strong; intense; violent 2 clear-cut; distinct; striking; sharp
桥	qiao2	noun 1 bridge 2 (Qiáo) a surname
巧	qiao3	adjective 1 skillful; ingenious; clever 2 (of hand, tongue) deft; glib 3 cunning; deceitful; artful 4 opportune; coincidental
亲	qin1	noun 1 parent 2 relative 3 marriage; match 4 bride  verb 1 kiss 2 (of countries, parties, etc.) in favour of; supporting  adjective 1 close; intimate; dear (opp. 疏) 2 of blood relation; related by blood 3 in person; oneself
亲切	qin1qie4	adjective 1 cordial; kind 2 close; intimate; dear
亲人	qin1ren2	noun 1 one's parents, spouse, children, etc.; one's family members 2 dear ones; those dear to one
亲自	qin1zi4	adverb personally; in person; oneself
情感	qing2gan3	noun 1 emotion; feeling 2 affection; attachment
情况	qing2kuang4	noun 1 circumstances; situation; condition; state of affairs 2 military situation
请教	qing3jiao4	verb ask for advice; consult
庆祝	qing4zhu4	verb celebrate
球迷	qiu2mi2	noun (esp. football) fan
区	qu1	noun 1 area; district; region 2 administrative division; district  verb distinguish; classify; subdivide
区别	qu1bie2	noun difference  verb distinguish; differentiate; make a distinction between
取消	qu3xiao1	verb cancel; call off; abolish
去世	qu4shi4	verb euphemistic (of grown-up people) die; pass away
全场	quan2chang3	noun 1 whole audience; all those present 2 sports full-court; all-court
全面	quan2mian4	adjective overall; comprehensive; all-round (opp. 片面) figurative
全球	quan2qiu2	noun whole world
缺	que1	noun vacancy; opening  verb 1 be short of; lack 2 be absent  adjective incomplete; imperfect
缺点	que1dian3	noun shortcoming; defect; weakness; drawback (opp. 优点)
缺少	que1shao3	verb lack; be short of; be in want of
确保	que4bao3	verb ensure; guarantee
确定	que4ding4	verb define; fix; determine  adjective definite
确实	que4shi2	adjective true; reliable  adverb really; indeed
裙子	qun2zi5	noun skirt
群	qun2	noun 1 crowd; group 2 (Qún) a surname  measure word [for people or animals] group; herd; flock
热爱	re4ai4	verb love ardently; have ardent love (or affection) for
热烈	re4lie4	adjective warm; enthusiastic; ardent; animated
人才	ren2cai2	noun 1 talent; qualified personnel; person of ability 2 colloquial handsome appearance
人工	ren2gong1	noun 1 manual work; work done by hand 2 manpower; man-day  adjective man-made; artificial (opp. 天然)
人类	ren2lei4	noun mankind; human race; humanity
人民	ren2min2	noun the people
人民币	ren2min2bi4	noun Renminbi (RMB, Chinese monetary unit)
人群	ren2qun2	noun crowd; throng; multitude; a group of people
人生	ren2sheng1	noun life
人员	ren2yuan2	noun personnel; staff
认出	ren4//chu1	verb recognize; make out; identify
认得	ren4//de5	verb know; recognize; tell
认可	ren4ke3	verb approve; confirm
任	ren4	noun official post; office  verb 1 assign sb. to a post; appoint 2 assume a post; take up a job 3 believe; trust; fall back on 4 undertake; bear  measure word [for the number of terms served on an official post]  verb let; allow; give free reign to  conjunction no matter (how, what, etc.)  pronoun any
任何	ren4he2	pronoun any; whichever; whatever; whoever; wherever
任务	ren4wu5	noun assignment; mission; task; job
仍	reng2	verb 1 literary remain 2 literary be frequent  adverb usually literary still; yet
仍然	reng2ran2	adverb usually literary still; yet; as before
日常	ri4chang2	adjective day-to-day; everyday; daily
容易	rong2yi4	adjective 1 easy 2 likely; liable; apt
如何	ru2he2	pronoun usually literary how; what  adverb VARIANT OF 22508800何如he2ru2何如1 classical how about
散步	san4//bu4	verb take a walk; go for a walk; go for a stroll
沙发	sha1fa1	noun transliteration sofa; settee
沙子	sha1zi5	noun 1 sand; grit 2 figurative sth. irritating 3 small grains; pellets
伤	shang1	noun wound; injury  verb 1 injure; hurt 2 be distressed 3 get sick of sth.; develop an aversion to sth. 4 be harmful to; hinder
伤心	shang1//xin1	adjective feel sad; be grieved; be broken-hearted (opp. 高兴)
商品	shang1pin3	noun commodity; goods; merchandise
商业	shang1ye4	noun commerce; trade; business
上来	shang4//lai5	verb 1 come up 2 come up to a place (or state) regarded as higher (or above)
上面	shang4mian5	noun 1 above; over; on top of; on the surface of 2 abovementioned; aforesaid; foregoing 3 higher authorities; higher-ups 4 aspect; respect; regard 5 elder generation of one's family; one's elders
上去	shang4//qu5	verb 1 go up (opp. 下去) 2 rise to a place (or state) regarded as higher (or above)
上升	shang4sheng1	verb 1 move upward; boom; upswing 2 rise (to a higher point, degree, rank, etc.); ascend
上衣	shang4yi1	noun upper outer garment; jacket
设备	she4bei4	verb install; equip  noun equipment; installation; facilities
设计	she4ji4	verb 1 design; plan 2 work out a plan (or scheme)
设立	she4li4	verb establish; set up; found
社会	she4hui4	noun society; community
身份证	shen1fen4zheng4	identity card; identification card; ID card; ID
深	shen1	adjective 1 deep (opp. 浅) 2 hard to understand; difficult; abstruse; profound (opp. 浅) 3 thoroughgoing; penetrating; profound (opp. 浅) 4 (of relations or feelings) close; intimate (opp. 浅) 5 (of colour) dark; deep; rich (opp. 浅) 6 far on in the day, night, season, etc.; late  noun depth  adverb very; greatly; deeply  noun abbreviation Shenzhen abbreviation
深刻	shen1ke4	adjective deep; profound; deepgoing
深入	shen1ru4	verb go deep into; penetrate into  adjective thorough; deepgoing
升	sheng1	verb rise; hoist; go up; ascend (opp. 降)  verb promote (opp. 降)  noun a sheng measure, equal to 0.1 dou (斗)  measure word 1 litre (l) 2 sheng (a traditional unit of volume, equivalent to 1 litre or 1.76 pints or 0.22 gallon)
生	sheng1	verb 1 give birth to; bear; generate 2 be born; come into existence (opp. 死) 3 grow 4 be afflicted with; get; have 5 light (a fire)  noun life; living  adjective alive; living  adjective 1 unripe; green (opp. 熟) 2 raw; uncooked (opp. 熟) 3 unprocessed; unrefined; crude (opp. 熟) 4 unfamiliar; unacquainted; strange (opp. 熟) 5 stiff; mechanical  adverb [before certain words, indicating feeling or perception] very; much  noun 1 pupil; student 2 intellectual; scholar 3 [noun suffix, in names of occupations or stations of persons] 4 theater male role (one of the four main roles in traditional opera, the other three being 旦 dàn,净 jìng, and 丑 chǒu; subdivided into 老生 lǎoshēng,小生 xiǎoshēng,武生 wǔshēng, etc.)  affix [added to certain adverbs]
生产	sheng1chan3	verb 1 produce; manufacture 2 give birth to a child
生存	sheng1cun2	verb subsist; exist; live; survive (opp. 死亡)
生动	sheng1dong4	adjective lively; vivid
生命	sheng1ming4	noun life
生意	sheng1yi5	noun business; trade
生长	sheng1zhang3	verb 1 grow 2 grow up; be brought up
声明	sheng1ming2	noun statement; declaration  verb state; declare; announce
胜	sheng4	verb 1 win (opp. 负, 败) 2 defeat 3 [often followed by 于, etc.] surpass; be superior to; get the better of  adjective superb; wonderful; lovely  verb be equal to; can bear  noun archaic head ornaments
胜利	sheng4li4	verb win (victory); succeed; attain the intended goal (opp. 失败)  adverb triumphantly; successfully
失去	shi1qu4	verb lose
石头	shi2tou5	noun stone; rock
石油	shi2you2	noun petroleum; oil
时	shi2	noun 1 time; fixed time 2 long period of time; times; days 3 season 4 time of day; hour; o'clock 5 current; present 6 opportunity; chance 7 linguistics tense 8 (Shí) a surname  adverb now and then; occasionally; from time to time
时代	shi2dai4	noun 1 times; age; era; epoch 2 the times; our age; the day; the present era 3 period in one's life
时刻	shi2ke4	noun point of time; hour; moment  adverb constantly; always
实际上	shi2ji4shang5	adverb in fact; actually
实力	shi2li4	noun actual strength; strength
实行	shi2xing2	verb put into practice (or effect); carry out; practise; implement
实验	shi2yan4	noun experiment; test; laboratory work  verb experiment; test
实验室	shi2yan4shi4	laboratory
食品	shi2pin3	noun foodstuff; food; provisions
使	shi3	verb 1 send; tell sb. to do sth. 2 use; employ; apply 3 make; cause; enable  conjunction if; supposing  noun literary envoy; messenger
始终	shi3zhong1	noun VARIANT OF 30158080始末shi3mo4始末 beginning and end—whole story  adverb from beginning to end; from start to finish; all along; throughout
世纪	shi4ji4	noun century
世界	shi4jie4	noun 1 all over the world 2 world 3 Buddhism the universe 4 field; sphere; domain; realm
世界杯	shi4jie4bei1	World Cup
市场	shi4chang3	noun 1 marketplace; market; bazaar 2 figurative sphere of influence
事故	shi4gu4	noun accident; mishap
事件	shi4jian4	noun incident; event
事实	shi4shi2	noun fact
事实上	shi4shi2shang5	adverb in fact; in reality; as a matter of fact; actually; de facto
事业	shi4ye4	noun 1 cause; undertaking; career 2 institution; facilities
试题	shi4ti2	noun examination questions; test questions
试验	shi4yan4	verb make an experiment; make a trial; test
适合	shi4he2	verb suit; fit
适应	shi4ying4	verb suit; adapt to; adjust to; conform to
适用	shi4yong4	adjective suitable; applicable
