爱心	ai4xin1	noun love; compassion; caring
部	bu4	noun 1 part; section 2 unit; ministry; department; board 3 headquarters 4 troops; forces  measure word 1 [for books, films, etc.] 2 [for machines and vehicles]  verb literary command; lead
部门	bu4men2	noun department; branch
部长	bu4zhang3	noun minister; head of a department (under the Central Committee of the CPC)
才能	cai2neng2	noun ability; capability; talent
采取	cai3qu3	verb adopt; assume; take
采用	cai3yong4	verb select and use; adopt
彩色	cai3se4	noun multicolour; colour
曾经	ceng2jing1	adverb [indicating that an action once happened or a state once existed]
产生	chan3sheng1	verb produce; give rise to; bring about; evolve; emerge; come into being
长城	Chang2cheng2	noun 1 the Great Wall 2 figurative impregnable bulwark
长处	chang2chu5	noun good qualities; strong points (opp. 短处)
长期	chang2qi1	noun over a long period of time; long-term; long-lasting (opp. 短期)
厂	chang3	noun 1 factory; mill; plant; works 2 yard; depot
场合	chang3he2	noun occasion; situation
场所	chang3suo3	noun place; arena
超级	chao1ji2	adjective super
朝	chao2	noun 1 royal court; assembly held by a sovereign; government 2 dynasty 3 (a sovereign's) reign 4 (Cháo) abbreviation Democratic People's Republic of Korea (DPRK)  verb make a pilgrimage to  preposition facing; towards
吵	chao3	verb 1 make a noise 2 quarrel; wrangle; squabble
吵架	chao3//jia4	verb quarrel; have a row; wrangle
衬衫	chen4shan1	noun 1 shirt 2 blouse
衬衣	chen4yi1	noun 1 underclothes; undergarments 2 shirt
称为	cheng1wei2	verb call (or be called); be known as
成功	cheng2gong1	verb succeed; be a success  adjective successful
成果	cheng2guo3	noun achievement; fruits; gain; positive result
成就	cheng2jiu4	noun achievement; success; attainment; accomplishment  verb achieve; accomplish
成立	cheng2li4	verb 1 found; establish; set up 2 be tenable; hold water
成熟	cheng2shu2	verb mature; ripen; be full-grown  adjective ripe; mature
成员	cheng2yuan2	noun member (of a group or family)
成长	cheng2zhang3	verb grow up; grow to maturity
城	cheng2	noun 1 city wall; wall 2 city 3 town 4 centre of a certain type (e.g. business, entertainment, etc.)
城市	cheng2shi4	noun town; city
程度	cheng2du4	noun 1 level; degree 2 extent; degree
持续	chi2xu4	verb continue; sustain
充满	chong1man3	verb 1 fill 2 be filled with; be full of; brim with; be permeated (or imbued) with
重	zhong4	noun weight  verb lay stress on; attach importance to  adjective 1 heavy; weighty; important 2 considerable in amount or value 3 deep; heavy; serious; strong 4 discreet; careful
初	chu1	noun 1 the beginning of; the early part of 2 original 3 (Chū) a surname  adjective 1 first (in order) 2 elementary; rudimentary  adverb for the first time; just beginning
初步	chu1bu4	adjective initial; preliminary; tentative
初级	chu1ji2	adjective elementary; primary
初中	chu1zhong1	noun abbreviation = 18907648初级中学chu1ji2zhong1xue2初级中学 junior middle school; junior high school
除了	chu2le5	preposition 1 except 2 [correlatively with 还, 也, etc.] besides; in addition to 3 [correlatively with 就是] if not ... (then...); either ... (or...)
处理	chu3li3	verb 1 handle; deal with; dispose of 2 treat sth. by a special process; process 3 sell at reduced prices; sell off
传	chuan2	verb 1 pass; pass on 2 hand down 3 pass on (knowledge, skill, etc.); impart; teach 4 spread 5 transmit; conduct 6 convey; express 7 summon 8 infect; be contagious 9 send a document by email or fax
传播	chuan2bo1	verb 1 disseminate; propagate; spread 2 physics propagate; propagation
传来	chuan2lai2	1 (of a sound) to come through 2 to be heard 3 (of news) to arrive
传说	chuan2shuo1	noun legend; folk tale  verb pass from mouth to mouth; it is said; they say
创新	chuang4xin1	verb bring forth new ideas; blaze new trails; innovate  noun innovation; originality
创业	chuang4ye4	verb start an undertaking; do pioneering work
创造	chuang4zao4	verb create; produce; bring about  noun creation; innovation
创作	chuang4zuo4	verb create; produce; write  noun creative work; creation
从来	cong2lai2	adverb from the past till the present; always; at all times; all along
从前	cong2qian2	noun before; formerly; in the past
从事	cong2shi4	verb 1 undertake; go in for; be engaged in 2 deal with
村	cun1	noun 1 village; hamlet 2 populated area of certain type  adjective rustic; boorish
存	cun2	verb 1 exist; live; survive 2 store; keep 3 accumulate; collect 4 deposit 5 leave with; check 6 reserve; retain 7 remain on balance; be in stock 8 cherish; harbour
存在	cun2zai4	verb exist; be  noun existence; being
错误	cuo4wu4	noun mistake; error; blunder  adjective wrong; mistaken; erroneous (opp. 正确)
达到	da2//dao4	verb achieve; attain; reach
打破	da3po5	verb break; smash
打听	da3ting5	verb ask about; inquire about
大概	da4gai4	adjective general; rough; approximate  adverb 1 generally; briefly 2 probably; most likely; presumably  noun general idea; broad outline
大使馆	da4shi3guan3	embassy
大约	da4yue1	adverb 1 approximately; about 2 probably
大夫	da4fu1	noun archaic senior official
代	dai4	verb take the place of; be in place of  adjective acting; substitute  noun 1 historical period 2 geology era 3 generation
代表	dai4biao3	noun deputy; delegate; representative  verb 1 represent; stand for 2 on behalf of; in the name of
代表团	dai4biao3tuan2	delegation; mission; deputation
带动	dai4//dong4	verb drive; spur on; bring along
