// HSK 3.0/Level 7-9
包容	bao1rong2	1 to pardon 2 to forgive 3 to show tolerance 4 to contain 5 to hold 6 inclusive
包扎	bao1za1	1 to wrap up 2 to pack 3 to bind up (a wound)
剥	bo1	1 to peel 2 to skin 3 to flay 4 to shuck
煲	bao1	1 to cook slowly over a low flame 2 pot 3 saucepan
饱和	bao3he2	saturated; filled to capacity
饱满	bao3man3	1 full 2 plump
宝库	bao3ku4	1 treasure-house 2 treasury 3 treasure-trove (often fig., book of treasured wisdom)
宝藏	bao3zang4	1 precious mineral deposits 2 hidden treasure 3 (fig.) treasure 4 (Buddhism) the treasure of Buddha's law
保管	bao3guan3	1 to hold in safekeeping; to have in one's care 2 to guarantee 3 certainly; surely 4 custodian; curator
保姆	bao3mu3	1 nanny; babysitter 2 housekeeper
保暖	bao3nuan3	to keep warm
保鲜	bao3xian1	to keep fresh
保修	bao3xiu1	1 to promise to keep sth in good repair 2 guarantee; warranty
保佑	bao3you4	1 to bless and protect 2 blessing
保障	bao3zhang4	1 to ensure 2 to guarantee 3 to safeguard
保质期	bao3zhi4qi1	1 shelf life 2 expiration date
保重	bao3zhong4	to take care of oneself
堡垒	bao3lei3	fort
报	bao4	1 to report; to inform; to announce 2 to respond; to reply 3 to sign up for; to register for (abbr. for 报名bàomíng [报名]) 4 to reward; to recompense 5 to take revenge; to retaliate 6 newspaper 7 periodical; journal 8 bulletin 9 telegram
报仇	bao4chou2	1 to take revenge 2 to avenge
报酬	bao4chou5	1 reward 2 remuneration
报废	bao4fei4	to scrap; to dispose of (sth worn-out or damaged)
报复	bao4fu4	1 to make reprisals; to retaliate 2 revenge; retaliation
报社	bao4she4	newspaper (i.e. a company) M: 家jiā [家]
报亭	bao4ting2	1 kiosk 2 newsstand
报销	bao4xiao1	1 to submit an expense account 2 to apply for reimbursement 3 to write off 4 to wipe out
抱负	bao4fu4	1 aspiration 2 ambition
豹	bao4	1 leopard 2 panther
暴风骤雨	bao4feng1zhou4yu3	1 violent wind and rainstorm 2 hurricane 3 tempest
暴利	bao4li4	sudden huge profits
暴躁	bao4zao4	irascible; irritable
曝光	bao4guang1	1 to expose (photography) 2 (fig.) to expose (a scandal) 3 (advertising) exposure 4 Taiwan pr. [pùguāng]
爆冷门	bao4leng3men2	1 an upset (esp. in sports) 2 unexpected turn of events 3 to pull off a coup 4 a breakthrough
爆满	bao4man3	filled to capacity (of theater, stadium, gymnasium etc)
爆竹	bao4zhu2	firecracker
卑鄙	bei1bi3	1 base 2 mean 3 contemptible 4 despicable
悲哀	bei1ai1	1 grieved 2 sorrowful
悲观	bei1guan1	pessimistic
悲欢离合	bei1huan1li2he2	1 joys and sorrows 2 partings and reunions 3 the vicissitudes of life
悲痛	bei1tong4	1 grieved 2 sorrowful
碑	bei1	1 a monument 2 an upright stone tablet 3 stele M: 块kuài [块] / 面miàn [面]
贝壳	bei4ke2	shell (of a mollusk)
备课	bei4ke4	(of a teacher) to do one's lesson preparation
备受	bei4shou4	to receive a great deal of (respect, criticism, attention etc)
备用	bei4yong4	1 reserve 2 spare 3 alternate 4 backup
背面	bei4mian4	1 the back 2 the reverse side 3 the wrong side
背叛	bei4pan4	to betray
背诵	bei4song4	1 to recite 2 to repeat from memory
被捕	bei4bu3	1 to be arrested 2 under arrest
奔波	ben1bo1	1 to rush about 2 to be constantly on the move
奔赴	ben1fu4	1 to rush to 2 to hurry to
本分	ben3fen4	1 (to play) one's part 2 one's role 3 one's duty 4 (to stay within) one's bounds 5 dutiful 6 keeping to one's role
本能	ben3neng2	instinct
本钱	ben3qian2	1 capital 2 (fig.) asset; advantage; the means (to do sth)
本色	ben3se4	1 inherent qualities 2 natural qualities 3 distinctive character 4 true qualities
本性	ben3xing4	1 natural instincts 2 nature 3 inherent quality
本意	ben3yi4	1 original idea 2 real intention 3 etymon
本着	ben3zhe5	1 based on... 2 in conformance with.. 3 taking as one's main principle
奔	ben1	1 to hurry 2 to rush 3 to run quickly 4 to elope
笨蛋	ben4dan4	1 (mild insult) fool; idiot 2 (playful) silly person
笨重	ben4zhong4	1 heavy; cumbersome; unwieldy 2 laborious; arduous
崩溃	beng1kui4	to collapse; to crumble; to fall apart
绷	beng3	to have a taut face
绷带	beng1dai4	(loanword) bandage
蹦	beng4	to jump; to bounce; to hop
逼近	bi1jin4	1 to press on towards 2 to close in on 3 to approach 4 to draw near
逼迫	bi1po4	1 to force 2 to compel 3 to coerce
逼真	bi1zhen1	1 lifelike 2 true to life 3 distinctly 4 clearly
鼻涕	bi2ti4	nasal mucus; snivel; snot
比比皆是	bi3bi3jie1shi4	can be found everywhere
比不上	bi3bu4shang4	can't compare with
比起	bi3qi3	compared with
比试	bi3shi4	1 to have a competition 2 to measure with one's hand or arm 3 to make a gesture of measuring
比喻	bi3yu4	1 to compare 2 to liken to 3 metaphor 4 analogy 5 figure of speech 6 figuratively
鄙视	bi3shi4	1 to despise 2 to disdain 3 to look down upon
必不可少	bi4bu4ke3shao3	1 absolutely necessary 2 indispensable 3 essential
必定	bi4ding4	1 to be bound to 2 to be sure to
碧绿	bi4lü4	dark green
弊病	bi4bing4	1 malady 2 evil 3 malpractice 4 drawback 5 disadvantage
弊端	bi4duan1	systemic problem (sometimes refers specifically to corrupt practices)
壁画	bi4hua4	1 mural (painting) 2 fresco
避难	bi4nan4	to take refuge; to seek asylum
避暑	bi4shu3	1 to be away for the summer holidays 2 to spend a holiday at a summer resort 3 to prevent sunstroke
边疆	bian1jiang1	1 border area 2 borderland 3 frontier 4 frontier region
边界	bian1jie4	1 boundary 2 border
边远	bian1yuan3	1 far from the center 2 remote 3 outlying
编号	bian1hao4	1 to number 2 numbering 3 serial number
编剧	bian1ju4	1 to write a play 2 scenario 3 dramatist 4 screenwriter
编排	bian1pai2	1 to arrange 2 to lay out
编写	bian1xie3	to compile
编造	bian1zao4	1 to compile 2 to draw up 3 to fabricate 4 to invent 5 to concoct 6 to make up 7 to cook up
鞭策	bian1ce4	1 to spur on 2 to urge on 3 to encourage sb (e.g. to make progress)
鞭炮	bian1pao4	1 firecrackers 2 string of small firecrackers M: 枚méi [枚]
贬值	bian3zhi2	1 to become devaluated 2 to devaluate 3 to depreciate
变革	bian4ge2	1 to transform 2 to change
变幻莫测	bian4huan4mo4ce4	1 to change unpredictably 2 unpredictable 3 erratic 4 treacherous
变迁	bian4qian1	1 changes 2 vicissitudes
变异	bian4yi4	variation
变质	bian4zhi4	1 to degenerate; to deteriorate 2 (of food) to go bad; to go off 3 (geology) metamorphism
便道	bian4dao4	1 pavement 2 sidewalk 3 shortcut 4 makeshift road
便饭	bian4fan4	1 an ordinary meal 2 simple home cooking
便捷	bian4jie2	convenient and fast
便利店	bian4li4dian4	convenience store
遍布	bian4bu4	1 to cover the whole (area) 2 to be found throughout
辨别	bian4bie2	to distinguish; to differentiate; to discern; to recognize; to tell
辨认	bian4ren4	1 to recognize 2 to identify
辩	bian4	1 to dispute 2 to debate 3 to argue 4 to discuss
辩护	bian4hu4	1 to speak in defense of 2 to argue in favor of 3 to defend 4 to plead
辩解	bian4jie3	1 to explain 2 to justify 3 to defend (a point of view etc) 4 to provide an explanation 5 to try to defend oneself
辫子	bian4zi5	1 plait 2 braid 3 pigtail 4 a mistake or shortcoming that may be exploited by an opponent 5 handle M: 根gēn [根] / 条tiáo [条]
标	biao1	1 mark 2 sign 3 label 4 to mark with a symbol, label, lettering etc 5 to bear (a brand name, registration number etc) 6 prize 7 award 8 bid 9 target 10 quota 11 (old) the topmost branches of a tree 12 visible symptom 13 classifier for military units
标榜	biao1bang3	1 to flaunt 2 to advertise 3 to parade 4 boost 5 excessive praise
标本	biao1ben3	1 specimen; sample 2 the root cause and symptoms of a disease
标签	biao1qian1	1 label 2 tag 3 (computing) tab (GUI element)
标示	biao1shi4	to indicate
标语	biao1yu3	1 written slogan 2 placard M: 幅fú [幅] / 张zhāng [张] / 条tiáo [条]
标致	biao1zhi5	(of a woman) beautiful; pretty
飙升	biao1sheng1	1 to rise rapidly 2 to soar
表白	biao3bai2	1 to explain oneself 2 to express 3 to reveal one's thoughts or feelings 4 declaration 5 confession
表决	biao3jue2	1 to decide by vote 2 to vote
表述	biao3shu4	to express; to articulate; to formulate
表率	biao3shuai4	1 example 2 model
表态	biao3tai4	1 to declare one's position 2 to say where one stands
表彰	biao3zhang1	1 to honor 2 to commend 3 to cite (in dispatches)
憋	bie1	1 to choke 2 to stifle 3 to restrain 4 to hold back 5 to hold in (urine) 6 to hold (one's breath)
别具匠心	bie2ju4jiang4xin1	1 to show ingenuity 2 (of a design) clever 3 brilliantly conceived
别看	bie2kan4	don't be fooled by the fact that
别墅	bie2shu4	villa M: 幢zhuàng [幢] / 座zuò [座]
别说	bie2shuo1	to say nothing of; not to mention; let alone
别提了	bie2ti2le5	1 say no more 2 don't bring it up 3 drop the subject
别致	bie2zhi4	unusual; unique
别扭	bie4niu5	1 awkward 2 difficult 3 uncomfortable 4 not agreeing 5 at loggerheads 6 gauche
彬彬有礼	bin1bin1you3li3	1 refined and courteous 2 urbane
滨海	bin1hai3	1 coastal 2 bordering the sea
缤纷	bin1fen1	1 vast and various 2 rich and diverse
冰棍儿	bing1gun4r5	1 ice lolly 2 popsicle
冰山	bing1shan1	1 iceberg 2 ice-covered mountain 3 (fig.) a backer one cannot rely on for long M: 座zuò [座]
丙	bing3	1 third of the ten Heavenly Stems 十天干shítiāngān [十天干] 2 third in order 3 letter "C" or Roman "III" in list "A, B, C", or "I, II, III" etc 4 ancient Chinese compass point: 165° 5 propyl
